n,epochs,coefficient,n_train,Q_completed,Q_requested,complete,bias,root_n_train_scaled_bias,empirical_sd,root_n_train_scaled_sd,mean_estimated_se,mean_T,sd_T,skewness_T,excess_kurtosis_T,T_q025,T_q50,T_q975,coverage_95,mean_training_loss
1000,1000,1,800,200,200,True,-0.04927349328994751,-1.3936648495228694,0.17281115882987838,4.887837690932501,0.3219165607396408,-0.16747254928516894,0.6205816750224865,-0.39446558250735014,1.6231008917595506,-1.5311421445528421,-0.16577683570854734,0.9426890525948453,0.985,0.4793102591682217
1000,1000,2,800,200,200,True,0.08400173544883728,2.3759278706924496,0.15792894481317407,4.466905112921257,0.6216548844309385,0.1413455352774243,0.2688769059777501,0.1474208938877599,0.29774469895539957,-0.4249041059200995,0.12363505474192298,0.6398092865779932,1.0,0.4793102591682217
2000,200,1,1600,200,200,True,-0.01641493946313858,-0.6565975785255431,0.10203313714994616,4.081325485997846,0.12017687529253097,-0.14443972152425646,0.8677188926493653,0.2564966612425383,0.2938683052596205,-1.7322537646339837,-0.15872850477670997,1.825388405566969,0.97,0.4504801153459234
2000,200,2,1600,200,200,True,0.049724767804145815,1.9889907121658326,0.08487068468047462,3.394827387218985,0.09912742181706953,0.5149418624507907,0.8832014553886074,0.15278464485005797,0.2029881583787576,-1.1808040602258096,0.5372611928632622,2.557435296391489,0.955,0.4504801153459234
2000,500,1,1600,200,200,True,-0.012791752815246582,-0.5116701126098633,0.11267780151418649,4.50711206056746,0.17989483307379864,-0.07156137360433659,0.6410106733183175,0.29638676869213915,0.564403959429657,-1.2159434124417556,-0.047263248940745975,1.3589859974781797,0.995,0.49482968378473174
2000,500,2,1600,200,200,True,0.03207023292779922,1.282809317111969,0.09190002108812972,3.676000843525189,0.1782625674894529,0.18226648251693145,0.535769193553252,-0.14193040442520016,0.1558243378355071,-0.930809692717095,0.2096612356743957,1.2136625108479095,1.0,0.49482968378473174
2000,1000,1,1600,200,200,True,-0.012513859272003174,-0.500554370880127,0.12136743729682097,4.854697491872838,0.2373803672047223,-0.05287373544669959,0.5196933976373422,0.4466991506068564,0.5400692395802764,-0.9634643947276909,-0.057257754221583815,1.0613529980657426,1.0,0.5706778596464572
2000,1000,2,1600,200,200,True,0.01902950793504715,0.761180317401886,0.09929869624231198,3.971947849692479,0.28371738101130345,0.07025437616889181,0.37375875353158605,-0.05775807491411793,0.07423587119077002,-0.7338897133462207,0.06946939952896503,0.8299617997905805,1.0,0.5706778596464572
4000,200,1,3200,200,200,True,-0.012804482281208038,-0.7243309000500158,0.06416123290518508,3.6295074301236654,0.08342023888626277,-0.15545063118990324,0.7793792562999869,0.12994413321309212,0.23212280771802618,-1.627022724414307,-0.17190963046046187,1.482046801484199,0.985,0.49441090299234597
4000,200,2,3200,200,200,True,0.012611753940582275,0.7134285387233512,0.056913785223282755,3.219529877950237,0.06433078076690511,0.19477332268094988,0.8785168300494173,0.1420810150045652,-0.2396846619236408,-1.4132159335650518,0.1560386488292914,1.8744848825703881,0.98,0.49441090299234597
