case,method,tau,n,epochs,rep,n_train,n_val,data_seed,fit_seed,data_sha256,epochs_run,optimizer_updates,projection_1_epochs_run,projection_2_epochs_run,projection_1_seed,projection_2_seed,density_zero,last_epoch_train_loss,last_epoch_validation_loss,training_loss,theta_hat_1,theta_0_1,estimated_se_1,theta_error_1,root_n_train_error_1,T_1,ci_lower_1,ci_upper_1,covered_1,theta_hat_2,theta_0_2,estimated_se_2,theta_error_2,root_n_train_error_2,T_2,ci_lower_2,ci_upper_2,covered_2
3,DPLQR,0.5,500,1000,10,400,100,50760914,51260914,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,1000,4000,1000,1000,51760914,51760915,0.5965894417624391,0.16037508100271225,0.9242290258407593,0.3216856587368378,0.6311995983123779,1.0,0.3746966798725546,-0.36880040168762207,-7.376008033752441,-0.9842638632748546,-0.10319239936456326,1.365591595989319,True,-0.988422155380249,-1.0,1.136218808660452,0.011577844619750977,0.23155689239501953,0.010189801939118314,-3.215370098911742,1.238525788151244,True
3,DPLQR,0.5,500,1000,11,400,100,50760915,51260915,22b6507fa8101718890ddd8e426616d653728ac3a53ec725c87a240c643a2ed5,1000,4000,1000,1000,51760915,51760916,0.7577773308546172,0.11771342158317566,0.7468286156654358,0.3114975205779788,0.8711442351341248,1.0,0.24908793355344988,-0.12885576486587524,-2.577115297317505,-0.5173103450963636,0.3829408563858569,1.3593476138823926,True,-0.6886492967605591,-1.0,0.9287874155986255,0.3113507032394409,6.227014064788818,0.33522278404124156,-2.5090391806279007,1.1317405871067823,True
3,DPLQR,0.5,500,1000,12,400,100,50760916,51260916,5306340881a59e856eb800d53125d513bcffc6a7aec479099bc2abc2aeca4289,1000,4000,1000,1000,51760916,51760917,0.7754947380192188,0.14509057439863682,0.8105905652046204,0.2544893070267193,1.2179687023162842,1.0,0.26369230825691736,0.21796870231628418,4.359374046325684,0.8266024282510193,0.7011412751324922,1.7347961295000762,True,-0.9294259548187256,-1.0,0.6734540430832705,0.07057404518127441,1.4114809036254883,0.10479415174072709,-2.2493716245048216,0.39051971486737047,True
3,DPLQR,0.5,500,1000,13,400,100,50760917,51260917,941a5bcfb949cc48da8c5716148e5b19ba0caf12c56bfabb46528f8e9cd2a639,1000,4000,1000,1000,51760917,51760918,0.7357177865689443,0.11778770759701729,0.902194082736969,0.2550132960777708,0.5848365426063538,1.0,0.30690070377310763,-0.41516345739364624,-8.303269147872925,-1.3527615032795022,-0.016677783618933018,1.1863508688316404,True,-0.7390421628952026,-1.0,0.8458471669227611,0.26095783710479736,5.219156742095947,0.30851653503099913,-2.396872146489054,0.9187878206986484,True
3,DPLQR,0.5,500,1000,14,400,100,50760918,51260918,3836b881414d7651c029c3e6b3f5459e13cd288dbe974a10bab43d45907c03c9,1000,4000,1000,1000,51760918,51760919,0.7003258066531987,0.16231292486190796,0.8036157488822937,0.2843104517088762,0.9369099140167236,1.0,0.7155402445678847,-0.06309008598327637,-1.2618017196655273,-0.0881712614520746,-0.46552319482531246,2.3393430228587597,True,-1.0310029983520508,-1.0,0.5128373091907834,-0.03100299835205078,-0.6200599670410156,-0.060453866745715235,-2.036145654294418,-0.025860342409683268,True
3,DPLQR,0.5,500,1000,15,400,100,50760919,51260919,5ad80f8887cde7f3b4198ba08c89f6b396f526062c5e7bc771d266eea837cded,1000,4000,1000,1000,51760919,51760920,0.8409581786925389,0.20445901155471802,0.8063125610351562,0.29615776067126626,1.1348434686660767,1.0,0.21018571524488494,0.13484346866607666,2.696869373321533,0.6415444004316473,0.7228870367213107,1.5467999006108426,True,-0.8378750681877136,-1.0,0.6473125147495049,0.16212493181228638,3.2424986362457275,0.2504585159689443,-2.106584283838796,0.43083414746336857,True
3,DPLQR,0.5,500,1000,16,400,100,50760920,51260920,afdbae6a221ff658959261123855ad2d5d17b1e20aa51367f509c2e1fbb6dfed,1000,4000,1000,1000,51760920,51760921,0.7280163890196373,0.19447545148432255,0.8555556535720825,0.34203478973340984,0.6132577657699585,1.0,0.26036457256169065,-0.3867422342300415,-7.73484468460083,-1.4853873183472648,0.10295258069887925,1.1235629508410376,True,-0.5074428915977478,-1.0,0.9458030310095685,0.4925571084022522,9.851142168045044,0.5207819093965973,-2.361182768845322,1.3462969856498264,True
3,DPLQR,0.5,500,1000,17,400,100,50760921,51260921,3267aea22e794544fd05ab6da634d384959c9d2406c4714b1b2a3293a76386e1,1000,4000,1000,1000,51760921,51760922,0.4649212177939891,0.17648518085479736,0.8072835803031921,0.47319702722912793,0.7801952958106995,1.0,0.6242732525998015,-0.21980470418930054,-4.396094083786011,-0.3520969435642459,-0.4433577957965871,2.003748387417986,True,-0.8000765442848206,-1.0,1.0762587668950514,0.19992345571517944,3.998469114303589,0.1857577953041422,-2.9095049654446106,1.3093518768749695,True
3,DPLQR,0.5,500,1000,18,400,100,50760922,51260922,17906c62fe04baf17b6bcbc78e84d451a85b3c9c4e821355f0baea8597613acd,1000,4000,1000,1000,51760922,51760923,0.46964117756810286,0.14460968039929867,0.8071895837783813,0.48236568689894244,0.865655243396759,1.0,0.5324346773655938,-0.13434475660324097,-2.6868951320648193,-0.25232157542397216,-0.17789754836000826,1.9092080351535263,True,-0.8351579904556274,-1.0,2.0985312591465437,0.16484200954437256,3.296840190887451,0.07855113371597454,-4.948203678814344,3.277887697903089,True
3,DPLQR,0.5,500,1000,19,400,100,50760923,51260923,e8a950b6446040c8dea1b96f44b99dd873301bf985d31795cc9c9eaf66118e2b,1000,4000,1000,1000,51760923,51760924,1.0961489987833546,0.11850590445101261,0.8497003316879272,0.2051387162209528,0.9244141578674316,1.0,0.22912266080778312,-0.07558584213256836,-1.5117168426513672,-0.32989247709539854,0.47534199464218974,1.3734863210926735,True,-0.5658249258995056,-1.0,0.30538481910080834,0.4341750741004944,8.683501482009888,1.421731032272341,-1.1643681727623694,0.03271832096335825,True
