design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case6_c0.1_t3,paper_case6,0.1,t3,400,100,1,5,0.8526209473609925,-0.14737905263900758,0.15966294148409227,0.10704642713069916,0.20411594808101655,4.638297456137671,1.0,-0.14737905263900758,0.15966294148409227
case6_c0.1_t3,paper_case6,0.1,t3,400,100,2,5,-0.6763159573078156,0.3236840426921844,0.35421075181124767,0.10704642713069916,0.20411594808101655,4.638297456137671,-1.0,0.3236840426921844,0.35421075181124767
case6_c0.1_t3,paper_case6,0.1,t3,400,150,1,5,0.8894835948944092,-0.11051640510559083,0.11850438732061196,0.08302765846252441,0.20274307429790497,4.638297456137671,1.0,-0.11051640510559083,0.11850438732061196
case6_c0.1_t3,paper_case6,0.1,t3,400,150,2,5,-0.7782667279243469,0.22173327207565308,0.24028314405832793,0.08302765846252441,0.20274307429790497,4.638297456137671,-1.0,0.22173327207565308,0.24028314405832793
case6_c0.1_t3,paper_case6,0.1,t3,400,200,1,5,0.9049857378005981,-0.09501426219940186,0.10225053528538249,0.07013758704066278,0.20924662947654724,4.638297456137671,1.0,-0.09501426219940186,0.10225053528538249
case6_c0.1_t3,paper_case6,0.1,t3,400,200,2,5,-0.8201911211013794,0.1798088788986206,0.19733038014632825,0.07013758704066278,0.20924662947654724,4.638297456137671,-1.0,0.1798088788986206,0.19733038014632825
case6_c10_t3,paper_case6,10.0,t3,400,10,1,5,-0.17892041355371474,-1.1789204135537148,1.2306803455413502,11.179558715820313,10.803060913085938,4.701791439958683,1.0,-1.1789204135537148,1.2306803455413502
case6_c10_t3,paper_case6,10.0,t3,400,10,2,5,0.18117022141814232,1.1811702214181423,1.2012607264614663,11.179558715820313,10.803060913085938,4.701791439958683,-1.0,1.1811702214181423,1.2012607264614663
case6_c10_t3,paper_case6,10.0,t3,400,20,1,5,-0.1648584336042404,-1.1648584336042405,1.217861077304053,10.93501485824585,10.966272926330566,4.701791439958683,1.0,-1.1648584336042405,1.217861077304053
case6_c10_t3,paper_case6,10.0,t3,400,20,2,5,0.17270874828100205,1.1727087482810021,1.1879803698836866,10.93501485824585,10.966272926330566,4.701791439958683,-1.0,1.1727087482810021,1.1879803698836866
case6_c10_t3,paper_case6,10.0,t3,400,40,1,5,-0.1410319223999977,-1.1410319223999976,1.2105852367163334,10.331961917877198,11.337785720825195,4.701791439958683,1.0,-1.1410319223999976,1.2105852367163334
case6_c10_t3,paper_case6,10.0,t3,400,40,2,5,0.16739886291325093,1.167398862913251,1.1795612094675283,10.331961917877198,11.337785720825195,4.701791439958683,-1.0,1.167398862913251,1.1795612094675283
case6_c10_t3,paper_case6,10.0,t3,400,60,1,5,-0.15098379999399186,-1.1509837999939918,1.2342605812896699,9.705812644958495,11.797611045837403,4.701791439958683,1.0,-1.1509837999939918,1.2342605812896699
case6_c10_t3,paper_case6,10.0,t3,400,60,2,5,0.15510078519582748,1.1551007851958275,1.1720161139507275,9.705812644958495,11.797611045837403,4.701791439958683,-1.0,1.1551007851958275,1.1720161139507275
case6_c10_t3,paper_case6,10.0,t3,400,80,1,5,-0.16816920712590216,-1.1681692071259022,1.2657146123279943,9.200025005340576,11.895637130737304,4.701791439958683,1.0,-1.1681692071259022,1.2657146123279943
case6_c10_t3,paper_case6,10.0,t3,400,80,2,5,0.13211886584758759,1.1321188658475876,1.1546812855550141,9.200025005340576,11.895637130737304,4.701791439958683,-1.0,1.1321188658475876,1.1546812855550141
case6_c10_t3,paper_case6,10.0,t3,400,100,1,5,-0.20115824937820434,-1.2011582493782043,1.3185916495813483,8.726710529327393,12.261574363708496,4.701791439958683,1.0,-1.2011582493782043,1.3185916495813483
case6_c10_t3,paper_case6,10.0,t3,400,100,2,5,0.10904467403888703,1.109044674038887,1.1396555793086487,8.726710529327393,12.261574363708496,4.701791439958683,-1.0,1.109044674038887,1.1396555793086487
case6_c10_t3,paper_case6,10.0,t3,400,150,1,5,-0.24354199767112733,-1.2435419976711273,1.4270667833429211,7.569975852966309,12.73255214691162,4.701791439958683,1.0,-1.2435419976711273,1.4270667833429211
case6_c10_t3,paper_case6,10.0,t3,400,150,2,5,0.07230595350265503,1.0723059535026551,1.1229371752397963,7.569975852966309,12.73255214691162,4.701791439958683,-1.0,1.0723059535026551,1.1229371752397963
case6_c10_t3,paper_case6,10.0,t3,400,200,1,5,-0.24481413066387175,-1.2448141306638718,1.4747492921933085,6.596915264129639,13.146957397460938,4.701791439958683,1.0,-1.2448141306638718,1.4747492921933085
case6_c10_t3,paper_case6,10.0,t3,400,200,2,5,0.03778241872787476,1.0377824187278748,1.1032893341798384,6.596915264129639,13.146957397460938,4.701791439958683,-1.0,1.0377824187278748,1.1032893341798384
case6_c15_t3,paper_case6,15.0,t3,400,10,1,5,-0.06482253670692444,-1.0648225367069244,1.178386306402085,16.854612350463867,16.824062728881835,4.547177935327499,1.0,-1.0648225367069244,1.178386306402085
case6_c15_t3,paper_case6,15.0,t3,400,10,2,5,0.24810300767421722,1.2481030076742172,1.3107554011626026,16.854612350463867,16.824062728881835,4.547177935327499,-1.0,1.2481030076742172,1.3107554011626026
case6_c15_t3,paper_case6,15.0,t3,400,20,1,5,-0.08351073861122131,-1.0835107386112213,1.2017703345735853,16.594582672119138,16.86234073638916,4.547177935327499,1.0,-1.0835107386112213,1.2017703345735853
case6_c15_t3,paper_case6,15.0,t3,400,20,2,5,0.22099919021129608,1.220999190211296,1.2895786898245685,16.594582672119138,16.86234073638916,4.547177935327499,-1.0,1.220999190211296,1.2895786898245685
case6_c15_t3,paper_case6,15.0,t3,400,40,1,5,-0.1550373040139675,-1.1550373040139674,1.2845674401437777,15.629683456420898,16.834291648864745,4.547177935327499,1.0,-1.1550373040139674,1.2845674401437777
case6_c15_t3,paper_case6,15.0,t3,400,40,2,5,0.12838874459266664,1.1283887445926666,1.2031921900743143,15.629683456420898,16.834291648864745,4.547177935327499,-1.0,1.1283887445926666,1.2031921900743143
case6_c15_t3,paper_case6,15.0,t3,400,60,1,5,-0.18109767585992814,-1.181097675859928,1.339258011616048,14.724505119323732,17.05152072906494,4.547177935327499,1.0,-1.181097675859928,1.339258011616048
case6_c15_t3,paper_case6,15.0,t3,400,60,2,5,0.034224295429885386,1.0342242954298855,1.1260400645376678,14.724505119323732,17.05152072906494,4.547177935327499,-1.0,1.0342242954298855,1.1260400645376678
case6_c15_t3,paper_case6,15.0,t3,400,80,1,5,-0.15727749168872834,-1.1572774916887283,1.3524408371601524,13.91932918548584,17.567555618286132,4.547177935327499,1.0,-1.1572774916887283,1.3524408371601524
case6_c15_t3,paper_case6,15.0,t3,400,80,2,5,-0.04359265863895416,0.9564073413610459,1.0632799427267883,13.91932918548584,17.567555618286132,4.547177935327499,-1.0,0.9564073413610459,1.0632799427267883
case6_c15_t3,paper_case6,15.0,t3,400,100,1,5,-0.138685242831707,-1.138685242831707,1.3698927254282969,13.150747566223146,17.853099060058593,4.547177935327499,1.0,-1.138685242831707,1.3698927254282969
case6_c15_t3,paper_case6,15.0,t3,400,100,2,5,-0.10504085421562195,0.8949591457843781,1.0102058971480674,13.150747566223146,17.853099060058593,4.547177935327499,-1.0,0.8949591457843781,1.0102058971480674
case6_c15_t3,paper_case6,15.0,t3,400,150,1,5,-0.1092674270272255,-1.1092674270272256,1.407158917298652,11.462737083435059,18.438717460632326,4.547177935327499,1.0,-1.1092674270272256,1.407158917298652
case6_c15_t3,paper_case6,15.0,t3,400,150,2,5,-0.2165896251797676,0.7834103748202323,0.9178161271045844,11.462737083435059,18.438717460632326,4.547177935327499,-1.0,0.7834103748202323,0.9178161271045844
case6_c15_t3,paper_case6,15.0,t3,400,200,1,5,-0.07266828594729305,-1.0726682859472931,1.4629904786644714,10.077979927062987,19.223142242431642,4.547177935327499,1.0,-1.0726682859472931,1.4629904786644714
case6_c15_t3,paper_case6,15.0,t3,400,200,2,5,-0.2927718535065651,0.7072281464934349,0.8648070994472149,10.077979927062987,19.223142242431642,4.547177935327499,-1.0,0.7072281464934349,0.8648070994472149
case6_c1_t3,paper_case6,1.0,t3,400,10,1,5,0.018017088994383812,-0.9819829110056162,1.0202115615718303,1.2264202094078065,1.2459080934524536,4.583071925312998,1.0,-0.9819829110056162,1.0202115615718303
case6_c1_t3,paper_case6,1.0,t3,400,10,2,5,0.1322415316477418,1.1322415316477419,1.1616930754233832,1.2264202094078065,1.2459080934524536,4.583071925312998,-1.0,1.1322415316477419,1.1616930754233832
case6_c1_t3,paper_case6,1.0,t3,400,20,1,5,0.06530037373304368,-0.9346996262669564,0.9677696369395693,1.1467792344093324,1.2183757305145264,4.583071925312998,1.0,-0.9346996262669564,0.9677696369395693
case6_c1_t3,paper_case6,1.0,t3,400,20,2,5,0.07531824856996536,1.0753182485699653,1.0988456972869434,1.1467792344093324,1.2183757305145264,4.583071925312998,-1.0,1.0753182485699653,1.0988456972869434
case6_c1_t3,paper_case6,1.0,t3,400,40,1,5,0.15490801110863686,-0.8450919888913632,0.8670056727785387,1.0611495471000671,1.255006766319275,4.583071925312998,1.0,-0.8450919888913632,0.8670056727785387
case6_c1_t3,paper_case6,1.0,t3,400,40,2,5,-0.058344077318906784,0.9416559226810932,0.9611431983711658,1.0611495471000671,1.255006766319275,4.583071925312998,-1.0,0.9416559226810932,0.9611431983711658
case6_c1_t3,paper_case6,1.0,t3,400,60,1,5,0.21218389496207238,-0.7878161050379276,0.8014083498726416,0.9699209070205688,1.2949501037597657,4.583071925312998,1.0,-0.7878161050379276,0.8014083498726416
case6_c1_t3,paper_case6,1.0,t3,400,60,2,5,-0.17198149710893632,0.8280185028910637,0.8478423281451268,0.9699209070205688,1.2949501037597657,4.583071925312998,-1.0,0.8280185028910637,0.8478423281451268
case6_c1_t3,paper_case6,1.0,t3,400,80,1,5,0.26205510199069976,-0.7379448980093002,0.7484327661262528,0.8902395367622375,1.3262385368347167,4.583071925312998,1.0,-0.7379448980093002,0.7484327661262528
case6_c1_t3,paper_case6,1.0,t3,400,80,2,5,-0.25500388294458387,0.7449961170554161,0.7631019279689278,0.8902395367622375,1.3262385368347167,4.583071925312998,-1.0,0.7449961170554161,0.7631019279689278
case6_c1_t3,paper_case6,1.0,t3,400,100,1,5,0.2992332190275192,-0.7007667809724808,0.7124024978711022,0.8316272091865539,1.3628485202789307,4.583071925312998,1.0,-0.7007667809724808,0.7124024978711022
case6_c1_t3,paper_case6,1.0,t3,400,100,2,5,-0.3057366952300072,0.6942633047699929,0.7081706101849282,0.8316272091865539,1.3628485202789307,4.583071925312998,-1.0,0.6942633047699929,0.7081706101849282
case6_c1_t3,paper_case6,1.0,t3,400,150,1,5,0.3376154601573944,-0.6623845398426056,0.6755739781077903,0.7096763348579407,1.4274490118026733,4.583071925312998,1.0,-0.6623845398426056,0.6755739781077903
case6_c1_t3,paper_case6,1.0,t3,400,150,2,5,-0.3796261638402939,0.6203738361597061,0.631461750978364,0.7096763348579407,1.4274490118026733,4.583071925312998,-1.0,0.6203738361597061,0.631461750978364
case6_c1_t3,paper_case6,1.0,t3,400,200,1,5,0.34017410352826116,-0.6598258964717388,0.6793149745549099,0.6107556092739106,1.5185725450515748,4.583071925312998,1.0,-0.6598258964717388,0.6793149745549099
case6_c1_t3,paper_case6,1.0,t3,400,200,2,5,-0.41453304290771487,0.5854669570922851,0.5987059091917482,0.6107556092739106,1.5185725450515748,4.583071925312998,-1.0,0.5854669570922851,0.5987059091917482
case6_c20_t3,paper_case6,20.0,t3,400,10,1,5,-0.3695678561925888,-1.3695678561925888,1.3973584151276803,22.63373420715332,21.040604019165038,4.521807328674588,1.0,-1.3695678561925888,1.3973584151276803
case6_c20_t3,paper_case6,20.0,t3,400,10,2,5,0.08145892769098281,1.0814589276909827,1.1735881523033729,22.63373420715332,21.040604019165038,4.521807328674588,-1.0,1.0814589276909827,1.1735881523033729
case6_c20_t3,paper_case6,20.0,t3,400,20,1,5,-0.3758363574743271,-1.375836357474327,1.4038621457524438,22.354243087768555,21.161256790161133,4.521807328674588,1.0,-1.375836357474327,1.4038621457524438
case6_c20_t3,paper_case6,20.0,t3,400,20,2,5,0.057006624341011045,1.057006624341011,1.1524188491197338,22.354243087768555,21.161256790161133,4.521807328674588,-1.0,1.057006624341011,1.1524188491197338
case6_c20_t3,paper_case6,20.0,t3,400,40,1,5,-0.31888982057571413,-1.318889820575714,1.3624070749302504,21.06434112548828,21.91044807434082,4.521807328674588,1.0,-1.318889820575714,1.3624070749302504
case6_c20_t3,paper_case6,20.0,t3,400,40,2,5,0.0433121457695961,1.0433121457695962,1.1324927391685633,21.06434112548828,21.91044807434082,4.521807328674588,-1.0,1.0433121457695962,1.1324927391685633
