design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,746314690,746314707,100,0.2881816625595093,-0.41545170545578003,-0.7118183374404907,0.58454829454422,0.8244099020957947,1.4031567573547363,2.061175379176528,4.164469366577541,0.7871480286049286,3.278053852087127
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,746314690,746314707,150,0.3363422751426697,-0.40220698714256287,-0.6636577248573303,0.5977930128574371,0.7264999270439148,1.4773709774017334,2.061175379176528,4.164469366577541,0.7871480286049286,3.278053852087127
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,746314690,746314707,200,0.3302457630634308,-0.38104939460754395,-0.6697542369365692,0.618950605392456,0.5835167407989502,1.5527559518814087,2.061175379176528,4.164469366577541,0.7871480286049286,3.278053852087127
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,10,-0.41172462701797485,-0.013211186043918133,-1.4117246270179749,0.9867888139560819,1.2767711877822876,1.2457633018493652,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,20,-0.3249020278453827,-0.08658600598573685,-1.3249020278453827,0.9134139940142632,1.1952588081359863,1.2900577783584595,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,40,-0.1690402328968048,-0.23181891441345215,-1.1690402328968048,0.7681810855865479,1.1080815553665162,1.287229299545288,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,60,-0.0466986782848835,-0.35692572593688965,-1.0466986782848835,0.6430742740631104,1.0199018716812134,1.2805278301239014,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,80,0.06384575366973877,-0.4391058385372162,-0.9361542463302612,0.5608941614627838,0.9495445966720581,1.285723328590393,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,100,0.1530807614326477,-0.47479426860809326,-0.8469192385673523,0.5252057313919067,0.9150564193725585,1.3174140453338623,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,138761499,138761516,150,0.2678466737270355,-0.551419198513031,-0.7321533262729645,0.448580801486969,0.7766238808631897,1.3436973094940186,1.9884118092268823,4.704656976464155,0.6872686513548721,3.23336325530181
