design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
mild_s10_t3,mild_prior,10.0,t3,400,320,80,1,910049313,910049330,60,0.11139970272779465,0.45903250575065613,-0.8886002972722054,1.4590325057506561,2.831139659881592,3.932378053665161,6.484669216885648,2.9610336020924524,3.2725643589529456,9.690173031869818
mild_s10_t3,mild_prior,10.0,t3,400,320,80,2,937352947,937352964,20,0.3400131165981293,0.3546592891216278,-0.6599868834018707,1.3546592891216278,3.476727533340454,4.651665687561035,6.549458522824727,2.9915851701545617,3.21330528502086,9.612876437847682
mild_s10_t3,mild_prior,10.0,t3,400,320,80,2,937352947,937352964,60,0.5028519630432129,0.30967265367507935,-0.4971480369567871,1.3096726536750793,3.0817622184753417,4.834345817565918,6.549458522824727,2.9915851701545617,3.21330528502086,9.612876437847682
paper6_s10_t3,paper_case6,10.0,t3,400,320,80,1,753633809,753633826,20,0.33190661668777466,-0.557935357093811,-0.6680933833122253,0.44206464290618896,10.455167388916015,10.494291305541992,19.64481068635682,4.961312604552224,6.5669573653216835,32.58072835012753
paper6_s10_t3,paper_case6,10.0,t3,400,320,80,1,753633809,753633826,60,0.13775503635406494,-0.5176126956939697,-0.8622449636459351,0.4823873043060303,9.078994369506836,10.770792007446289,19.64481068635682,4.961312604552224,6.5669573653216835,32.58072835012753
paper6_s10_t3,paper_case6,10.0,t3,400,320,80,2,161712490,161712507,20,0.0020353675354272127,-0.548884391784668,-0.9979646324645728,0.45111560821533203,11.91497745513916,10.698810577392578,19.984548411469724,4.92363167489592,6.6359247329303255,32.672849207281
paper6_s10_t3,paper_case6,10.0,t3,400,320,80,2,161712490,161712507,60,-0.27679505944252014,-0.7797642946243286,-1.2767950594425201,0.2202357053756714,11.087751960754394,11.077354431152344,19.984548411469724,4.92363167489592,6.6359247329303255,32.672849207281
paper4_s10_t3,paper_case4,10.0,t3,400,320,80,1,880481526,880481543,20,-0.3359053134918213,-0.5388621091842651,-1.3359053134918213,0.46113789081573486,10.155019378662109,10.150202751159668,18.809358830139754,3.8966848209448433,7.625650096702752,29.71475498165819
paper4_s10_t3,paper_case4,10.0,t3,400,320,80,1,880481526,880481543,60,-0.22431594133377075,-0.7821332812309265,-1.2243159413337708,0.2178667187690735,9.101093101501466,11.159165382385254,18.809358830139754,3.8966848209448433,7.625650096702752,29.71475498165819
paper4_s10_t3,paper_case4,10.0,t3,400,320,80,2,998111823,998111840,20,-0.8076507449150085,0.44763612747192383,-1.8076507449150085,1.4476361274719238,10.645224380493165,9.976160049438477,19.626906597711283,3.2380236556103417,9.0580533415547,29.33019099373442
paper4_s10_t3,paper_case4,10.0,t3,400,320,80,2,998111823,998111840,60,-1.086145281791687,0.19068698585033417,-2.086145281791687,1.1906869858503342,9.148732948303223,10.812005043029785,19.626906597711283,3.2380236556103417,9.0580533415547,29.33019099373442
case4_unscaled_t3,case4_unscaled,1.0,t3,400,320,80,1,80118793,80118810,20,-0.4015693664550781,-0.34416037797927856,-1.4015693664550781,0.6558396220207214,4.850952911376953,5.585972309112549,9.379862231436354,3.295809047721364,4.419556068105391,14.566012876173604
case4_unscaled_t3,case4_unscaled,1.0,t3,400,320,80,1,80118793,80118810,60,-0.37593337893486023,-0.35463377833366394,-1.3759333789348602,0.6453662216663361,4.27809886932373,5.465695381164551,9.379862231436354,3.295809047721364,4.419556068105391,14.566012876173604
case4_unscaled_t3,case4_unscaled,1.0,t3,400,320,80,2,472565602,472565619,20,-0.6318468451499939,0.40603625774383545,-1.631846845149994,1.4060362577438354,5.5724132537841795,6.610915184020996,9.863537457444387,3.3989891000972743,4.481651824264301,15.233085701105423
case4_unscaled_t3,case4_unscaled,1.0,t3,400,320,80,2,472565602,472565619,60,-0.5205549001693726,0.32984215021133423,-1.5205549001693726,1.3298421502113342,4.777531290054322,6.991436004638672,9.863537457444387,3.3989891000972743,4.481651824264301,15.233085701105423
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,320,80,1,877351587,877351604,20,-0.29715490341186523,-0.1891227662563324,-1.2971549034118652,0.8108772337436676,8.582966613769532,11.89876937866211,16.42021183071897,5.098922830080171,5.32355733764342,27.144408046150847
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,320,80,1,877351587,877351604,60,-0.002476465655490756,-0.37719494104385376,-1.0024764656554908,0.6228050589561462,7.616288566589356,11.481426239013672,16.42021183071897,5.098922830080171,5.32355733764342,27.144408046150847
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,320,80,2,979350012,979350029,20,-0.4913145899772644,-0.4276764392852783,-1.4913145899772644,0.5723235607147217,9.216902160644532,10.544536590576172,16.163191057379144,4.752269728075912,5.770512817077869,27.423033376073203
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,320,80,2,979350012,979350029,60,-0.4838186800479889,-0.4423092305660248,-1.483818680047989,0.5576907694339752,8.133440494537354,11.22160816192627,16.163191057379144,4.752269728075912,5.770512817077869,27.423033376073203
steep_s1_t3,steep_x,1.0,t3,400,320,80,1,953793212,953793229,20,0.22151628136634827,-0.5620689392089844,-0.7784837186336517,0.4379310607910156,9.719388580322265,11.565109252929688,20.166980187020762,35.15228561059014,1.7742901753155633,62.37035499875673
steep_s1_t3,steep_x,1.0,t3,400,320,80,1,953793212,953793229,60,0.12130548804998398,-0.7619102001190186,-0.878694511950016,0.23808979988098145,9.33612518310547,11.544977188110352,20.166980187020762,35.15228561059014,1.7742901753155633,62.37035499875673
