n_total,replication,n_fit,data_sha256,quadrature_max_abs_error,sigma1_min_eigenvalue,sigma2_min_eigenvalue,sigma1_condition,sigma2_condition,mean_f0,mean_phi1,mean_phi2,Sigma1_11,Sigma1_12,Sigma1_22,Sigma2_11,Sigma2_12,Sigma2_22,V_oracle_11,V_oracle_12,V_oracle_22,oracle_se_1,oracle_se_2
1000,29,800,82ad4bb57f45cb880d2b856ffbc22f7738a8dc6a65242f7c57b45913ef5877b2,6.260907193666592e-10,0.04030920027982938,0.09444466458328975,1.143624897210825,1.1874973197813856,0.6787831624161689,0.4660707855134229,0.9602686104042985,0.041975076625470856,0.002620932739339029,0.04443272868102896,0.09752957017126981,0.006716490185382119,0.10906788047232847,4.434154721827736,-0.28394154632586094,3.753315754206205,0.07444926730522383,0.06849558155646067
1000,30,800,63c1476418a221e50fe4bbdec08252cb6946de8479a72baf55bc635d1357345d,6.199012865865256e-10,0.04119394805632196,0.09635677452480919,1.273740951699913,1.3633483174235514,0.6721720341729815,0.4661033717251212,0.9601094642050231,0.04292654523454252,0.004066409726644352,0.05073782142331575,0.09974346933100171,0.010349015104779567,0.12798115161456664,4.354775352242746,-0.35502094193732514,3.126644090706271,0.07377986981760969,0.06251643874520396
1000,31,800,a71fb4246185a72a4151f676994e53b483468215705688fa2060b9518a651dc1,5.998316477918577e-10,0.040969321909897924,0.0973387377982392,1.2652565584701847,1.3028820945020056,0.6869034337568684,0.4534711803945286,0.9404934700973243,0.04297518093828611,0.004216036588944674,0.04983084421418641,0.10099545647835828,0.009717838059508963,0.12316417989863238,4.242581555919908,-0.311715010683506,3.3077324584171537,0.07282325826890668,0.06430136525005858
1000,32,800,0de4b5218839c7fa089a40684c9036e690ce2a0164351d4cf1a8cc1ad6d545ce,6.123224413650854e-10,0.042068862967291454,0.10164766261983665,1.211735780136968,1.208046964354979,0.6738258900280534,0.46938296315428196,0.9638591462608158,0.04360564674791514,0.003365586399291715,0.04943956270652241,0.10405548627176209,0.006717276694021337,0.12038732660974727,4.0358385668727825,-0.17655812628374884,3.4183843289537914,0.07102674291132163,0.06536803814703512
1000,33,800,cfc55cdf3fe999fb6f6b65521ad07b07facf0725a288aefa3ca1949b1d2cff37,6.312215365799702e-10,0.04189723559681399,0.09997082465935278,1.2078718535468993,1.2364347881998297,0.6639279816471437,0.46956142762997616,0.9668018181615919,0.044124605588255636,0.003799678727525838,0.04837912162737321,0.10448693750226426,0.00929248033078282,0.11909129257093767,4.07059817166884,-0.31561920342408556,3.4355985335558095,0.07133195437239927,0.0655324207316101
1000,34,800,2ee0a4c881805e769d1d2b84c03fdc1b7f3adb8c4976c4ef30ba0af92e2521aa,6.304666486108403e-10,0.04313641890987422,0.1047093254026699,1.1059947942128872,1.1411511054478458,0.6768049096446638,0.45416921795942317,0.9451938018045507,0.043582355415582835,0.0013564908805681181,0.04726271824959861,0.1049600942157244,0.0019087789793146848,0.11923839362090045,3.955514483874757,-0.015372441033423726,3.323673306994027,0.070316378638575,0.06445612177088017
1000,35,800,2d0da87d17fa3dd802a268507463f435631901c3193c05faa5932dba6aa6187c,6.251100625013625e-10,0.042354760631584436,0.09978920483092185,1.1135559619608597,1.1507808107252189,0.6670327676599567,0.46902931485911686,0.9642945313633692,0.04268444905787682,0.001215313428434568,0.046834707792433566,0.09997006813328133,0.0016396985902368186,0.11465463873459368,4.2704847841265305,-0.013468132377840742,3.5622552871770505,0.07306234310613206,0.06672944709025629
1000,36,800,2acc560062c9e7053ffb2eef873b3b038013e77adf97b952c085c3f69d6901a9,6.024800390826577e-10,0.04456737126820866,0.10687431654768015,1.2013879112192833,1.1996403457136418,0.6553785775972895,0.466687571605165,0.9616115802485092,0.047861653686363345,0.004326080735938457,0.05024841865829283,0.1127705903586004,0.009541454923727497,0.122314468240248,3.784295814905005,-0.2655503571578976,3.3770671154149867,0.06877768365270276,0.06497179306644334
1000,37,800,43b884e05e8236dbb8e301178736f14abf84a680ff4f6bb17e1f280346f0ab55,6.267867251677203e-10,0.041537929924483824,0.10188210728656626,1.2594819481847375,1.25667191130069,0.6810707961434016,0.4527557792511203,0.9443717719717927,0.045964611969492884,0.005302526135582051,0.04788959085984093,0.1114187467568185,0.012587225837666942,0.11849574302089891,3.7447238798290527,-0.3812670251060062,3.449383669589933,0.06841713856765946,0.06566376159638904
1000,38,800,bcd139d935d36ba8c5f1d8e300edce1d3630f5913c010984d42633b92d4f9208,6.232873232139369e-10,0.04365628279717687,0.10251078157246227,1.219168855227845,1.2473576551490806,0.6659826918814363,0.46411636749576984,0.9574965530739016,0.046335267755006945,0.004296024783214931,0.050545395363507134,0.10905438044373277,0.011095324035422332,0.12132400925845559,3.9384834354414457,-0.3850874440818239,3.471398188295654,0.07016483659427852,0.06587296665074048
