case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time,oracle_se_1,oracle_se_2,ci_lower_1,ci_upper_1,covered_1,T_oracle_1,ci_lower_2,ci_upper_2,covered_2,T_oracle_2
6,0.5,2000,1600,400,41,82260945,82260945,82760945,0e2b4a3496d92a72a2e6f8a0756bb7361f46b48eb5684ee9c4a263f91b8526e9,88f33009408eb8773ec2a01711898db4a3c0ea7cc68dd5487eae98ec3170d1ed,2000,26000,0.9683141112327576,-0.8967093825340271,1.0,-1.0,-0.03168588876724243,0.1032906174659729,0.00100399554697006,0.010668951656501946,0.19458844304084777,0.5789915537834167,0.4617026734352112,0.606263484954834,90.84625619999133,0.050863704897074445,0.04451115507104675,0.8686230815142181,1.0680051409512972,True,-0.6229567592718738,-0.9839496433835562,-0.809469121684498,False,2.320555764079925
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,200,2600,0.9841306805610657,-0.9701663255691528,1.0,-1.0,-0.015869319438934326,0.029833674430847168,0.0002518352994549389,0.0008900481300457841,0.27737070083618165,0.42279513001441954,0.2854727220535278,0.4168732476234436,9.189670599997044,0.050739268420651906,0.04449352405688732,0.8846835418546775,1.083577819267454,True,-0.312762086109921,-1.0573720302659184,-0.8829606208723872,True,0.6705172283657109
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,500,6500,0.9767758250236511,-0.9450153708457947,1.0,-1.0,-0.023224174976348877,0.05498462915420532,0.0005393623033320694,0.003023309443225486,0.21681016445159912,0.4516056430339813,0.31036853075027465,0.44180565476417544,23.054985999988276,0.050739268420651906,0.04449352405688732,0.8773286863172629,1.0762229637300393,True,-0.45771599984078937,-1.0322210755425603,-0.8578096661490291,True,1.2357894844181048
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,1000,13000,0.9897751212120056,-0.9524011611938477,1.0,-1.0,-0.010224878787994385,0.047598838806152344,0.00010454814622917752,0.0022656494556940743,0.18881806075572968,0.4983617568016052,0.34990774512290956,0.4948181903362274,45.878585699989344,0.050739268420651906,0.04449352405688732,0.8903279825056174,1.0892222599183938,True,-0.2015180570446036,-1.0396068658906132,-0.8651954564970821,True,1.0697925105976032
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,2000,26000,0.9816911220550537,-0.9781108498573303,1.0,-1.0,-0.01830887794494629,0.021889150142669678,0.00033521501160294065,0.000479134893968336,0.17000242710113525,0.5114929580688476,0.45785157680511473,0.5495746278762818,91.67162289998669,0.050739268420651906,0.04449352405688732,0.8822439833486655,1.081138260761442,True,-0.3608423714973038,-1.065316554554096,-0.8909051451605647,True,0.4919626081917729
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,200,2600,1.0498969554901123,-0.9245704412460327,1.0,-1.0,0.049896955490112305,0.07542955875396729,0.0024897061671822485,0.005689618333818203,0.28298144102096556,0.4268099224567413,0.31423380732536316,0.423382111787796,8.68933520000428,0.05030751409067821,0.04705162706862907,0.9512960397206417,1.1484978712595828,True,0.9918390203136278,-1.0167899357145556,-0.8323509467775099,True,1.6031232808154843
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,500,6500,1.066131830215454,-0.9428375363349915,1.0,-1.0,0.0661318302154541,0.057162463665008545,0.004373418967645648,0.003267547252253422,0.2407611209154129,0.4775946497917175,0.31427716493606567,0.45580328702926637,22.321189099995536,0.05030751409067821,0.04705162706862907,0.9675309144459835,1.1647327459849246,True,1.3145517406456002,-1.0350570308035143,-0.8506180418664686,True,1.2148881393970052
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,1000,13000,1.0692261457443237,-0.9824681282043457,1.0,-1.0,0.06922614574432373,0.017531871795654297,0.0047922592546143505,0.0003073665286592586,0.2062337267398834,0.507892644405365,0.34899441957473754,0.49050015211105347,45.44911960000172,0.05030751409067821,0.04705162706862907,0.9706252299748531,1.1678270615137942,True,1.3760597595727964,-1.0746876226728685,-0.8902486337358229,True,0.3726092568506179
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,2000,26000,1.0871366262435913,-0.9634538292884827,1.0,-1.0,0.08713662624359131,0.036546170711517334,0.007592791633115326,0.0013356225936753674,0.1774909645318985,0.5280432772636413,0.4738630819320679,0.5793162560462952,90.92453309999837,0.05030751409067821,0.04705162706862907,0.9885357104741207,1.1857375420130618,True,1.7320797463084623,-1.0556733237570055,-0.8712343348199598,True,0.7767249081144723
6,0.5,2000,1600,400,44,82260948,82260948,82760948,9d620d0d4477efbe920b33af97ce9c2066646edb2bfe62fab59b255152c38006,0da0c8d132d9dc5a3e0a92dc00cac7e9a4cf3615270bd7b93e7cd5a7980c486e,200,2600,0.8953455686569214,-1.0130701065063477,1.0,-1.0,-0.10465443134307861,-0.013070106506347656,0.010952549999743155,0.00017082768408727134,0.2784998345375061,0.4593573355674744,0.2970458495616913,0.45839678883552554,9.150859699991997,0.049639357805188355,0.04551156974749768,0.798054215143055,0.9926369221707878,False,-2.108295432704813,-1.1022711440913258,-0.9238690689213696,True,-0.2871820633492054
6,0.5,2000,1600,400,44,82260948,82260948,82760948,9d620d0d4477efbe920b33af97ce9c2066646edb2bfe62fab59b255152c38006,0da0c8d132d9dc5a3e0a92dc00cac7e9a4cf3615270bd7b93e7cd5a7980c486e,500,6500,0.9095142483711243,-1.0181267261505127,1.0,-1.0,-0.09048575162887573,-0.018126726150512695,0.008187671247842587,0.0003285782009356808,0.24663381576538085,0.4956560158729553,0.3083675992488861,0.5015039038658142,22.84486620000098,0.049639357805188355,0.04551156974749768,0.8122228948572578,1.0068056018849907,True,-1.8228630592682258,-1.1073277637354908,-0.9289256885655346,True,-0.39828830890873285
6,0.5,2000,1600,400,44,82260948,82260948,82760948,9d620d0d4477efbe920b33af97ce9c2066646edb2bfe62fab59b255152c38006,0da0c8d132d9dc5a3e0a92dc00cac7e9a4cf3615270bd7b93e7cd5a7980c486e,1000,13000,0.8969055414199829,-1.0438969135284424,1.0,-1.0,-0.10309445858001709,-0.04389691352844238,0.01062846738990686,0.0019269390173235479,0.20700638771057128,0.5520622372627259,0.35799015045166016,0.5614918303489685,45.84387799999968,0.049639357805188355,0.04551156974749768,0.7996141879061165,0.9941968949338493,False,-2.076869305695199,-1.1330979511134205,-0.9546958759434643,True,-0.9645220714641671
6,0.5,2000,1600,400,44,82260948,82260948,82760948,9d620d0d4477efbe920b33af97ce9c2066646edb2bfe62fab59b255152c38006,0da0c8d132d9dc5a3e0a92dc00cac7e9a4cf3615270bd7b93e7cd5a7980c486e,2000,26000,0.9235493540763855,-1.0933548212051392,1.0,-1.0,-0.0764506459236145,-0.09335482120513916,0.005844701262137875,0.0087151226422435,0.18136171340942384,0.5807773661613465,0.47740946054458616,0.6386564183235168,92.36979070000234,0.049639357805188355,0.04551156974749768,0.8262580005625191,1.020840707590252,True,-1.5401215749737964,-1.1825558587901173,-1.004153783620161,False,-2.051232724405688
