design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case6_nox1_c20,case6_no_x1,20.0,t3,400,60,1,20,-0.041821052134037015,-1.041821052134037,1.1767652608451529,17.865396337509154,21.845958995819093,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,60,2,20,-0.29039016012102364,0.7096098398789763,0.7830615218738528,17.865396337509154,21.845958995819093,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,80,1,20,-0.031189715070649982,-1.03118971507065,1.1995977124031,16.89539176940918,22.225839614868164,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,80,2,20,-0.325405581202358,0.674594418797642,0.7532361324307363,16.89539176940918,22.225839614868164,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,100,1,20,-0.009923344757407904,-1.0099233447574079,1.2131639545589643,15.971174697875977,22.746770763397215,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,100,2,20,-0.3516155980527401,0.6483844019472599,0.7380264506791253,15.971174697875977,22.746770763397215,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,150,1,20,0.020806782692670823,-0.9791932173073292,1.246521893264684,13.972699966430662,23.700638389587404,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,150,2,20,-0.3891172297298908,0.6108827702701092,0.7300730712227963,13.972699966430662,23.700638389587404,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,200,1,20,0.06064602397382259,-0.9393539760261774,1.2665770447095765,12.606120409965516,24.499400329589843,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,200,2,20,-0.3998432060703635,0.6001567939296365,0.7417187587755584,12.606120409965516,24.499400329589843,4.311037218326054,,,
