n,replication,seed,experiment,theta1_hat,theta2_hat,theta1_error,theta2_error,sqrt_n_theta1_error,sqrt_n_theta2_error,oracle_se1,oracle_se2,T1,T2,coverage1,coverage2,empirical_check_loss,Cn1,Cn2,lhs1,lhs2,minus_Sn1,minus_Sn2,IF_gap1,IF_gap2,IF_gap_norm
1000,13,1020277038,experiment0_exact_m0,1.053157825585967,-1.0349391222261477,0.053157825585967,-0.0349391222261477,1.6809980431363067,-1.1048720568163937,0.104705476231305,0.1029483803161473,0.5076890674613425,-0.3393848656856189,1.0,1.0,0.5325424159130497,0.0,0.0,0.0995643253820653,-0.0632047894258125,-0.0273059586078327,-0.1913273556639899,0.1268702839898981,0.1281225662381774,0.1803093478972556
1000,14,1020278047,experiment0_exact_m0,0.7967564449669047,-1.0132052234242066,-0.2032435550330953,-0.0132052234242066,-6.427125536543599,-0.4175858303190072,0.1037963509009479,0.0962868310292178,-1.9580992324773452,-0.1371446467087438,1.0,1.0,0.5474121808298921,0.0,0.0,-0.4071689590810938,-0.0453110004678968,-0.3720842881365814,-0.3047791924747494,-0.0350846709445123,0.2594681920068526,0.2618294803848291
1000,15,1020279056,experiment0_exact_m0,1.0100636960042164,-1.0603221927636712,0.0100636960042164,-0.0603221927636712,0.3182420105285936,-1.907555225889282,0.1044045603862147,0.0983278751202049,0.0963913450426749,-0.6134800806986617,1.0,1.0,0.5626835634378679,0.0,0.0,0.0056158028840367,-0.1335221231462167,0.2109390522443492,0.1462922420532707,-0.2053232493603124,-0.2798143651994875,0.3470644258633679
1000,16,1020280065,experiment0_exact_m0,0.949374290310634,-1.0630021959970144,-0.0506257096893658,-0.0630021959970144,-1.6009255078085152,-1.9923043694290832,0.1016487638078077,0.0972520628427142,-0.4980455028955037,-0.6478237494962742,1.0,1.0,0.5229053691931381,0.0,0.0,-0.1084634844751469,-0.1457782530290561,-0.3260703637791592,-0.3355878007407002,0.2176068793040123,0.1898095477116441,0.2887566766724709
1000,17,1020281074,experiment0_exact_m0,1.1194664477086995,-1.0671633866995998,0.1194664477086995,-0.0671633866995997,3.777860787288944,-2.123892773413944,0.0999342928728598,0.0950248876253624,1.1954499729205996,-0.7067978545198892,1.0,1.0,0.5614744176567029,0.0,0.0,0.2484263812021074,-0.1429292768614821,0.1459390701471017,-0.2814501605778258,0.1024873110550056,0.1385208837163437,0.17231275098739
1000,18,1020282083,experiment0_exact_m0,0.7669637881208548,-0.8668199347311227,-0.2330362118791452,0.1331800652688772,-7.369252068356861,4.211523451795372,0.1012876264864007,0.0981359938366356,-2.3007372170028453,1.357097024875283,0.0,1.0,0.566989165261213,0.0,0.0,-0.4813463786468932,0.2844103700759885,-0.7056397547146755,-0.2802542654059693,0.2242933760677823,0.5646646354819579,0.6075801750484096
1000,19,1020283092,experiment0_exact_m0,1.0653601209899413,-0.9915170207407497,0.0653601209899412,0.0084829792592504,2.0668685047239364,0.2682553580319942,0.1038093950141822,0.0969631716073982,0.6296166255569822,0.0874866108299123,1.0,1.0,0.5502889863709911,0.0,0.0,0.1320760761804784,0.0281315358162711,-0.0890184286090124,-0.2968313874293093,0.2210945047894909,0.3249629232455804,0.3930441216103139
1000,20,1020284101,experiment0_exact_m0,0.9300932827123726,-0.926207936357372,-0.0699067172876274,0.073792063642628,-2.2106445037437084,2.333509943548058,0.1012790359264781,0.1000294134420342,-0.690238771016492,0.7377036523901002,1.0,1.0,0.5537492044033897,0.0,0.0,-0.1311971761050337,0.1442782709462406,-0.2378307663714423,-0.156976051140055,0.1066335902664086,0.3012543220862956,0.3195698501873696
1000,21,1020285110,experiment0_exact_m0,0.9207385605501618,-1.0216576961720394,-0.0792614394498382,-0.0216576961720393,-2.5064667928501203,-0.6848764877555438,0.1035369583440087,0.1002486258587502,-0.765537646822563,-0.2160398308357358,1.0,1.0,0.5541597182319397,0.0,0.0,-0.1645678991659571,-0.0620153543495229,-0.2247427111475076,-0.0386521743794715,0.0601748119815504,-0.0233631799700514,0.0645511128899259
1000,22,1020286119,experiment0_exact_m0,1.1775419879576607,-1.0632535112425197,0.1775419879576607,-0.0632535112425196,5.61437062260394,-2.000251655294293,0.0991889552203511,0.0962816421028891,1.7899370707479083,-0.6569633614570599,1.0,1.0,0.5573115667995523,0.0,0.0,0.3778369081485926,-0.1087512053633522,0.4954708177183564,0.2355739472559894,-0.1176339095697637,-0.3443251526193417,0.3638647377900205
1000,23,1020287128,experiment0_exact_m0,0.9127097123956328,-0.9216646029040182,-0.0872902876043671,0.0783353970959818,-2.760361264409632,2.477182762370422,0.1037897428637207,0.1004448229762272,-0.8410300015771517,0.7798848638970856,1.0,1.0,0.5643870939404643,0.0,0.0,-0.1688768045351363,0.1609354623377271,-0.1211920080840794,0.3182529113755944,-0.0476847964510569,-0.1573174490378672,0.1643855820452654
1000,24,1020288137,experiment0_exact_m0,0.86257115369688,-0.962536811550426,-0.13742884630312,0.0374631884495738,-4.345881705270702,1.1846900391276547,0.1047721043189894,0.0998997750963977,-1.3116930999562988,0.3750077356372822,1.0,1.0,0.5443375117611555,0.0,0.0,-0.2637646078074239,0.0349737687080071,-0.4830894728630015,0.0761599384616744,0.2193248650555776,-0.0411861697536673,0.2231584571792546
1000,25,1020289146,experiment0_exact_m0,0.99734950391636,-1.014639458017871,-0.00265049608364,-0.014639458017871,-0.0838160455365885,-0.4629403104688642,0.1051656257079023,0.1010798585848942,-0.0252030648398541,-0.1448306143560316,1.0,1.0,0.5536664515774856,0.0,0.0,-0.0081154436317943,-0.0316408702174604,-0.0334234682547292,-0.1134049904097849,0.0253080246229349,0.0817641201923244,0.0855912814551807
