case,case_name,epoch,metric,repetitions,mean,sd,mcse,mc_sd_available
1,linear,20,q_mse,10,0.37164198988430547,0.1622042046274268,0.05129347326786922,True
1,linear,20,decomposition_residual,10,4.9960036108132046e-17,3.570785935996118e-16,1.129181659464396e-16,True
1,linear,30,theta_error_l2,10,0.9759000723567246,0.3684431476937015,0.1165119534993911,True
1,linear,30,train_check_loss,10,0.5725164211442992,0.03850085502481857,0.012175039374236526,True
1,linear,30,validation_check_loss,10,0.5833244357404475,0.026945739523530802,0.00852099101319776,True
1,linear,30,test_check_loss,10,0.607229465929943,0.020674428411858927,0.00653782831035719,True
1,linear,30,m_l2_error,10,0.854208173394192,0.27966735691392947,0.08843858350472558,True
1,linear,30,q_l2_error,10,0.5505667643500773,0.12168409460511136,0.03847988939675592,True
1,linear,30,linear_error_mse,10,0.7909302128450812,0.5481958667485926,0.17335475428157157,True
1,linear,30,nonlinear_error_mse,10,0.8000640509643429,0.4712088606343576,0.1490093253257424,True
