case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time
6,0.5,1000,800,200,10,81260914,81260914,81760914,af8b32a321241ef9e5ff4c55ad740d6db15e104edc6d9d6a08be75c4e28c6cf4,62dea26a2ca650bdaf85e963b11c2d0a40667e88244c00da7ac1b20c12f649e7,2000,14000,0.7426154613494873,-0.8461378216743469,1.0,-1.0,-0.2573845386505127,0.15386217832565308,0.06624680073633726,0.023673569919115067,0.12970981359481812,0.5662873840332031,0.2627325773239136,0.5526054215431213,47.40579560000333
6,0.5,1000,800,200,11,81260915,81260915,81760915,b4e73719585755f2a49debabb8c442b2c92221b0a507ab133b3b8c8db1129276,05530be3d5daabd407ed3c63d2ba78a31df580778c0f5f7242d4ab58f880c178,200,1400,0.8740221858024597,-0.9428532123565674,1.0,-1.0,-0.12597781419754028,0.05714678764343262,0.015870409669989982,0.003265755337963583,0.2502383589744568,0.3738755214214325,0.2515498721599579,0.3736607074737549,4.7436769000050845
6,0.5,1000,800,200,11,81260915,81260915,81760915,b4e73719585755f2a49debabb8c442b2c92221b0a507ab133b3b8c8db1129276,05530be3d5daabd407ed3c63d2ba78a31df580778c0f5f7242d4ab58f880c178,500,3500,0.8953202366828918,-0.9097816348075867,1.0,-1.0,-0.10467976331710815,0.09021836519241333,0.010957852848125782,0.008139353417991657,0.15716203093528747,0.40678034782409667,0.24182644009590148,0.4090848481655121,12.068607100001827
6,0.5,1000,800,200,11,81260915,81260915,81760915,b4e73719585755f2a49debabb8c442b2c92221b0a507ab133b3b8c8db1129276,05530be3d5daabd407ed3c63d2ba78a31df580778c0f5f7242d4ab58f880c178,1000,7000,0.9281962513923645,-0.9338148236274719,1.0,-1.0,-0.0718037486076355,0.06618517637252808,0.005155778314108517,0.004380477571462649,0.13552999556064604,0.46868267059326174,0.2501902341842651,0.4321922516822815,24.085008700007165
6,0.5,1000,800,200,11,81260915,81260915,81760915,b4e73719585755f2a49debabb8c442b2c92221b0a507ab133b3b8c8db1129276,05530be3d5daabd407ed3c63d2ba78a31df580778c0f5f7242d4ab58f880c178,2000,14000,0.9524136185646057,-0.9468834400177002,1.0,-1.0,-0.04758638143539429,0.053116559982299805,0.002264463698114838,0.002821368944353253,0.10223265051841736,0.49188469171524046,0.293488187789917,0.48973254799842836,48.281888200006506
6,0.5,1000,800,200,12,81260916,81260916,81760916,597ba5026cc0ac50c756d1a2ef6ca74111240726135c2cabcc256d0d259b9345,e4b1f8b64e97310163bd5d98679ce271a816114b341c65c560599c9685a792eb,200,1400,0.9090454578399658,-0.9307304620742798,1.0,-1.0,-0.09095454216003418,0.06926953792572021,0.008272728739541435,0.004798268884442791,0.24841119289398195,0.40295082569122315,0.259726989865303,0.3976912367343903,4.908703299995977
6,0.5,1000,800,200,12,81260916,81260916,81760916,597ba5026cc0ac50c756d1a2ef6ca74111240726135c2cabcc256d0d259b9345,e4b1f8b64e97310163bd5d98679ce271a816114b341c65c560599c9685a792eb,500,3500,0.9473089575767517,-0.9413247108459473,1.0,-1.0,-0.05269104242324829,0.058675289154052734,0.002776345951648551,0.0034427895573116984,0.19838510125875472,0.4379896330833435,0.26118254244327543,0.44993632793426513,12.059377999998105
6,0.5,1000,800,200,12,81260916,81260916,81760916,597ba5026cc0ac50c756d1a2ef6ca74111240726135c2cabcc256d0d259b9345,e4b1f8b64e97310163bd5d98679ce271a816114b341c65c560599c9685a792eb,1000,7000,0.9603368639945984,-0.8784221410751343,1.0,-1.0,-0.03966313600540161,0.12157785892486572,0.0015731643577829857,0.014781175780754552,0.1478229907155037,0.5022300148010254,0.2878086698055267,0.5108730471134186,24.287835199997062
6,0.5,1000,800,200,12,81260916,81260916,81760916,597ba5026cc0ac50c756d1a2ef6ca74111240726135c2cabcc256d0d259b9345,e4b1f8b64e97310163bd5d98679ce271a816114b341c65c560599c9685a792eb,2000,14000,0.8937457799911499,-0.8510794639587402,1.0,-1.0,-0.1062542200088501,0.14892053604125977,0.01128995926968912,0.02217732605481615,0.1446937143802643,0.5601104307174682,0.39805097460746763,0.5728700757026672,54.21874129999924
6,0.5,1000,800,200,13,81260917,81260917,81760917,c9b61824aa969c35394fc837af78b04c6955aa42ad827adc923eefcd7970e039,56676a89f6b85d1e5840be0cfb256417eb9d52eeda212c6dac6756680fbf572e,200,1400,0.8866173028945923,-0.9710131883621216,1.0,-1.0,-0.11338269710540771,0.028986811637878418,0.012855636002896631,0.0008402352489298437,0.2569074940681457,0.3539285731315613,0.2620553410053253,0.354047429561615,4.755756899998232
6,0.5,1000,800,200,13,81260917,81260917,81760917,c9b61824aa969c35394fc837af78b04c6955aa42ad827adc923eefcd7970e039,56676a89f6b85d1e5840be0cfb256417eb9d52eeda212c6dac6756680fbf572e,500,3500,0.9496654868125916,-0.939529299736023,1.0,-1.0,-0.05033451318740845,0.06047070026397705,0.002533563217813395,0.003656705590415754,0.19790016293525695,0.37877676606178284,0.23226367592811584,0.368711975812912,12.196832599998743
6,0.5,1000,800,200,13,81260917,81260917,81760917,c9b61824aa969c35394fc837af78b04c6955aa42ad827adc923eefcd7970e039,56676a89f6b85d1e5840be0cfb256417eb9d52eeda212c6dac6756680fbf572e,1000,7000,0.9522361159324646,-0.95377117395401,1.0,-1.0,-0.0477638840675354,0.04622882604598999,0.002281388621216962,0.0021371043575904025,0.16265522360801696,0.43154447078704833,0.27186312437057497,0.4245869469642639,25.01516189999529
6,0.5,1000,800,200,13,81260917,81260917,81760917,c9b61824aa969c35394fc837af78b04c6955aa42ad827adc923eefcd7970e039,56676a89f6b85d1e5840be0cfb256417eb9d52eeda212c6dac6756680fbf572e,2000,14000,0.8741074204444885,-0.9882407188415527,1.0,-1.0,-0.12589257955551147,0.011759281158447266,0.015848941587140786,0.00013828069336341287,0.12565551340579986,0.5031271433830261,0.3565117907524109,0.48086875915527344,48.78135279999697
