case,case_name,replicate,n,tau,e_theta,oracle_theta_error_l2,e_q,oracle_q_l2_error,e_m,oracle_m_l2_error,e_test,oracle_test_check_loss,e_theta_1,oracle_abs_theta_error_1,e_theta_2,oracle_abs_theta_error_2,e_validation,oracle_stopping_validation_check_loss
2,additive,3,1000,0.5,288,0.016819836280656676,59,0.5589321189829797,43,0.5377310821059994,65,0.603536934936599,442,0.0005960464477539062,218,1.1324882507324219e-05,59,0.608860969543457
2,additive,4,1000,0.5,374,0.33551423155965626,102,0.6050883080418626,83,0.6614452262549352,102,0.5978358570526844,95,0.0003190040588378906,371,0.3225328326225281,108,0.6180092096328735
2,additive,5,1000,0.5,665,0.07334365032715304,75,0.531473303281673,59,0.508594373729154,75,0.5987215098747571,668,0.03904306888580322,105,0.0017501115798950195,48,0.5991672277450562
2,additive,6,1000,0.5,968,0.08357644080988197,82,0.6371975949554617,81,0.6342356911529612,82,0.6218606215742651,895,0.00016129016876220703,968,0.08289444446563721,63,0.6660829782485962
2,additive,7,1000,0.5,734,0.14806270241630104,78,0.5693860499376421,54,0.5447327593415948,78,0.6030197890780276,734,0.093952476978302,703,0.10696768760681152,41,0.5943294167518616
2,additive,8,1000,0.5,361,0.2855121721864987,81,0.6155374496627017,98,0.6200609651554116,81,0.6131638258427187,208,0.0002549886703491211,361,0.28004467487335205,64,0.6151779294013977
2,additive,9,1000,0.5,542,0.17295154517359895,90,0.5158282401306005,90,0.48216887890427024,90,0.5892654763277562,542,0.16935956478118896,765,7.104873657226562e-05,80,0.5980420112609863
2,additive,10,1000,0.5,271,0.061821410297116186,64,0.649440284338271,91,0.7096856638419486,64,0.6235157447398866,175,2.9802322387695312e-06,603,0.0002130270004272461,59,0.6161837577819824
3,deep,1,1000,0.5,453,0.10389825010030213,30,0.6384833782929551,51,0.6810237982652051,49,0.606815501101179,125,0.0342557430267334,918,7.605552673339844e-05,70,0.606812596321106
3,deep,2,1000,0.5,137,0.20336016881886695,48,0.587564284300433,77,0.6097993923250129,55,0.6063479392032668,40,4.184246063232422e-05,199,0.11635565757751465,58,0.6604323387145996
3,deep,3,1000,0.5,97,0.02500380222868815,35,0.48002026222106514,54,0.4632103321191493,35,0.5996329728959284,937,7.724761962890625e-05,213,1.0848045349121094e-05,38,0.5500389337539673
3,deep,4,1000,0.5,978,0.2792921055320702,41,0.6176025194071442,48,0.7671522078112356,41,0.6032033002704873,126,0.0009176731109619141,686,0.22826743125915527,37,0.6345707774162292
3,deep,5,1000,0.5,940,0.018475580048117408,70,0.6793727799329451,64,0.6287138700497069,70,0.6296020804185176,983,8.851289749145508e-05,940,0.017607688903808594,42,0.564933180809021
3,deep,6,1000,0.5,853,0.22730623182217144,66,0.5963798743424066,62,0.5877585624792026,53,0.6080556709284587,155,0.14542335271835327,971,0.11466968059539795,65,0.6066944599151611
3,deep,7,1000,0.5,579,0.1126180895335593,49,0.5671820364188519,48,0.5536207635031555,49,0.596532731120665,579,0.10142064094543457,846,0.01686316728591919,54,0.572674036026001
3,deep,8,1000,0.5,960,0.04868314326433017,48,0.652926911959997,57,0.6667912553444277,62,0.6083371000311487,216,7.843971252441406e-05,858,0.0002703666687011719,58,0.5563861131668091
3,deep,9,1000,0.5,973,0.17021462405196908,56,0.5522273304712221,50,0.576112707297002,56,0.596243882741538,664,0.1147465705871582,985,0.10180264711380005,71,0.6750748157501221
3,deep,10,1000,0.5,88,0.10997664428968881,24,0.5748746604625687,28,0.5826975296273817,24,0.6032674739289666,61,0.002792835235595703,136,3.0875205993652344e-05,6,0.5710143446922302
