case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time,theta_hat_1_at_200,theta_hat_2_at_200,train_check_loss_at_200,validation_check_loss_at_200,delta_theta1,delta_abs_error_theta1,delta_theta2,delta_abs_error_theta2,delta_train_check_loss,delta_validation_check_loss
6,0.5,2000,1600,400,38,82260942,82260942,82760942,c697f90c026cadfa9dbab8034f75bc569c62b1d90f4650acb3105a814fa2ac67,cdd22064cd549939dc4907cf2090f2fc6a366202155a115adb9f840799dcad91,1000,13000,1.1072688102722168,-0.940278947353363,1.0,-1.0,0.1072688102722168,0.05972105264663696,0.011506597657216844,0.003566604129222384,0.19546740472316743,0.49528363943099973,0.3392800259590149,0.5130134558677674,44.53642980000586,1.0159670114517212,-0.9633934497833252,0.26541159629821776,0.4145334005355835,0.0913017988204956,0.0913017988204956,0.023114502429962158,0.023114502429962158,-0.06994419157505033,0.08075023889541622
6,0.5,2000,1600,400,38,82260942,82260942,82760942,c697f90c026cadfa9dbab8034f75bc569c62b1d90f4650acb3105a814fa2ac67,cdd22064cd549939dc4907cf2090f2fc6a366202155a115adb9f840799dcad91,2000,26000,1.139382243156433,-0.9221450686454773,1.0,-1.0,0.1393822431564331,0.0778549313545227,0.019427409707319043,0.006061390336217443,0.15799956619739533,0.5358812785148621,0.5954677522182464,0.7238587689399719,88.5812561000057,1.0159670114517212,-0.9633934497833252,0.26541159629821776,0.4145334005355835,0.12341523170471191,0.12341523170471191,0.0412483811378479,0.0412483811378479,-0.10741203010082243,0.1213478779792786
6,0.5,2000,1600,400,39,82260943,82260943,82760943,172b6a4df078ee719fde17ae3f8eeb7acbbc0d7a218df45d17bdf397ee5c9e03,38b98d117bfeca6aca6b96e60466a8fa3fd2d1fc6ff5dcd048a0a1c1d92977a1,500,6500,1.0450820922851562,-1.0689058303833008,1.0,-1.0,0.04508209228515625,-0.06890583038330078,0.0020323950448073447,0.004748013460812217,0.22616970419883728,0.4574423909187317,0.31691593408584595,0.45275513410568236,22.61075069999788,0.97871333360672,-1.0359712839126587,0.2900393807888031,0.41264952182769776,0.06636875867843628,0.02379542589187622,-0.03293454647064209,0.03293454647064209,-0.06386967658996581,0.044792869091033916
6,0.5,2000,1600,400,39,82260943,82260943,82760943,172b6a4df078ee719fde17ae3f8eeb7acbbc0d7a218df45d17bdf397ee5c9e03,38b98d117bfeca6aca6b96e60466a8fa3fd2d1fc6ff5dcd048a0a1c1d92977a1,1000,13000,1.0810661315917969,-1.0568853616714478,1.0,-1.0,0.08106613159179688,-0.056885361671447754,0.006571717691258527,0.003235944372491417,0.20911644279956818,0.4747341156005859,0.33462942361831666,0.47056601047515867,45.22783669999626,0.97871333360672,-1.0359712839126587,0.2900393807888031,0.41264952182769776,0.1023527979850769,0.059779465198516846,-0.020914077758789062,0.020914077758789062,-0.08092293798923492,0.062084593772888164
6,0.5,2000,1600,400,39,82260943,82260943,82760943,172b6a4df078ee719fde17ae3f8eeb7acbbc0d7a218df45d17bdf397ee5c9e03,38b98d117bfeca6aca6b96e60466a8fa3fd2d1fc6ff5dcd048a0a1c1d92977a1,2000,26000,1.0722180604934692,-1.0327376127243042,1.0,-1.0,0.07221806049346924,-0.0327376127243042,0.005215448261438382,0.0010717512868865242,0.1849039351940155,0.49821168661117554,0.4321261918544769,0.5291749048233032,89.96721479999542,0.97871333360672,-1.0359712839126587,0.2900393807888031,0.41264952182769776,0.09350472688674927,0.05093139410018921,0.003233671188354492,-0.003233671188354492,-0.1051354455947876,0.08556216478347778
6,0.5,2000,1600,400,40,82260944,82260944,82760944,31d96663393ad9c178d2e69770d65127b304cc011982d39139dbd2bd47db8a80,4433465fb2bc30e5ab8ab5ec30908754631d40dd50b957ab74e3fe36ff672234,500,6500,0.9295562505722046,-0.9974008798599243,1.0,-1.0,-0.07044374942779541,0.0025991201400756836,0.004962321833446026,6.755425502547041e-06,0.22429884254932403,0.479678817987442,0.3277443766593933,0.47960136413574217,22.055071000009775,0.9021226763725281,-0.9532426595687866,0.2939245069026947,0.4068786823749542,0.027433574199676514,-0.027433574199676514,-0.044158220291137695,-0.044158220291137695,-0.0696256643533707,0.07280013561248777
6,0.5,2000,1600,400,40,82260944,82260944,82760944,31d96663393ad9c178d2e69770d65127b304cc011982d39139dbd2bd47db8a80,4433465fb2bc30e5ab8ab5ec30908754631d40dd50b957ab74e3fe36ff672234,1000,13000,0.9532029628753662,-1.0088939666748047,1.0,-1.0,-0.04679703712463379,-0.008893966674804688,0.002189962683644353,7.910264321253635e-05,0.19217515587806702,0.524831258058548,0.4093539261817932,0.546233286857605,44.992972000007285,0.9021226763725281,-0.9532426595687866,0.2939245069026947,0.4068786823749542,0.051080286502838135,-0.051080286502838135,-0.055651307106018066,-0.03786337375640869,-0.1017493510246277,0.1179525756835938
6,0.5,2000,1600,400,40,82260944,82260944,82760944,31d96663393ad9c178d2e69770d65127b304cc011982d39139dbd2bd47db8a80,4433465fb2bc30e5ab8ab5ec30908754631d40dd50b957ab74e3fe36ff672234,2000,26000,0.9559662938117981,-1.017581582069397,1.0,-1.0,-0.044033706188201904,-0.017581582069396973,0.0019389672806688907,0.00030911202806294114,0.17415213465690613,0.531363513469696,0.5189524149894714,0.617677960395813,90.73945060001279,0.9021226763725281,-0.9532426595687866,0.2939245069026947,0.4068786823749542,0.05384361743927002,-0.05384361743927002,-0.06433892250061035,-0.029175758361816406,-0.1197723722457886,0.12448483109474179
6,0.5,2000,1600,400,41,82260945,82260945,82760945,0e2b4a3496d92a72a2e6f8a0756bb7361f46b48eb5684ee9c4a263f91b8526e9,88f33009408eb8773ec2a01711898db4a3c0ea7cc68dd5487eae98ec3170d1ed,500,6500,1.009087085723877,-0.906870424747467,1.0,-1.0,0.009087085723876953,0.09312957525253296,8.257512695308833e-05,0.0086731177867172,0.23559339642524718,0.5072250485420227,0.34517207980155945,0.5062381649017333,22.5544799999916,1.0245870351791382,-0.861916720867157,0.29673402190208437,0.4685709190368652,-0.01549994945526123,-0.01549994945526123,-0.04495370388031006,-0.04495370388031006,-0.061140625476837185,0.03865412950515745
6,0.5,2000,1600,400,41,82260945,82260945,82760945,0e2b4a3496d92a72a2e6f8a0756bb7361f46b48eb5684ee9c4a263f91b8526e9,88f33009408eb8773ec2a01711898db4a3c0ea7cc68dd5487eae98ec3170d1ed,1000,13000,1.0013216733932495,-0.9402832388877869,1.0,-1.0,0.0013216733932495117,0.059716761112213135,1.7468205584236784e-06,0.003566091557733131,0.2197063994407654,0.5594570446014404,0.37370052456855773,0.5527495956420898,45.074573499994585,1.0245870351791382,-0.861916720867157,0.29673402190208437,0.4685709190368652,-0.023265361785888672,-0.023265361785888672,-0.07836651802062988,-0.07836651802062988,-0.07702762246131897,0.0908861255645752
6,0.5,2000,1600,400,41,82260945,82260945,82760945,0e2b4a3496d92a72a2e6f8a0756bb7361f46b48eb5684ee9c4a263f91b8526e9,88f33009408eb8773ec2a01711898db4a3c0ea7cc68dd5487eae98ec3170d1ed,2000,26000,0.9683141112327576,-0.8967093825340271,1.0,-1.0,-0.03168588876724243,0.1032906174659729,0.00100399554697006,0.010668951656501946,0.19458844304084777,0.5789915537834167,0.4617026734352112,0.606263484954834,90.84625619999133,1.0245870351791382,-0.861916720867157,0.29673402190208437,0.4685709190368652,-0.056272923946380615,0.007098853588104248,-0.03479266166687012,-0.03479266166687012,-0.1021455788612366,0.1104206347465515
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,500,6500,0.9767758250236511,-0.9450153708457947,1.0,-1.0,-0.023224174976348877,0.05498462915420532,0.0005393623033320694,0.003023309443225486,0.21681016445159912,0.4516056430339813,0.31036853075027465,0.44180565476417544,23.054985999988276,0.9841306805610657,-0.9701663255691528,0.27737070083618165,0.42279513001441954,-0.007354855537414551,0.007354855537414551,0.025150954723358154,0.025150954723358154,-0.06056053638458253,0.02881051301956178
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,1000,13000,0.9897751212120056,-0.9524011611938477,1.0,-1.0,-0.010224878787994385,0.047598838806152344,0.00010454814622917752,0.0022656494556940743,0.18881806075572968,0.4983617568016052,0.34990774512290956,0.4948181903362274,45.878585699989344,0.9841306805610657,-0.9701663255691528,0.27737070083618165,0.42279513001441954,0.005644440650939941,-0.005644440650939941,0.017765164375305176,0.017765164375305176,-0.08855264008045197,0.07556662678718568
6,0.5,2000,1600,400,42,82260946,82260946,82760946,ceaafd548d5ea203a03ce1a68b6ed3c3bf376b53e48225d728a2d8d5768bd0f6,67a9cfbb296bcc68b4e174c7d6ec4c632f668764b880fff54d09b0038c2b5ce4,2000,26000,0.9816911220550537,-0.9781108498573303,1.0,-1.0,-0.01830887794494629,0.021889150142669678,0.00033521501160294065,0.000479134893968336,0.17000242710113525,0.5114929580688476,0.45785157680511473,0.5495746278762818,91.67162289998669,0.9841306805610657,-0.9701663255691528,0.27737070083618165,0.42279513001441954,-0.002439558506011963,0.002439558506011963,-0.00794452428817749,-0.00794452428817749,-0.1073682737350464,0.08869782805442811
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,500,6500,1.066131830215454,-0.9428375363349915,1.0,-1.0,0.0661318302154541,0.057162463665008545,0.004373418967645648,0.003267547252253422,0.2407611209154129,0.4775946497917175,0.31427716493606567,0.45580328702926637,22.321189099995536,1.0498969554901123,-0.9245704412460327,0.28298144102096556,0.4268099224567413,0.016234874725341797,0.016234874725341797,-0.01826709508895874,-0.01826709508895874,-0.042220320105552656,0.05078472733497619
6,0.5,2000,1600,400,43,82260947,82260947,82760947,4401fb66fda8487f6d683360dd0cfd917a1e4a9734c107e8f23a056ebb83635e,11c843bf52ac40968e27680721162a332c1ad1ab7ba32ad1be994e1670ed8649,1000,13000,1.0692261457443237,-0.9824681282043457,1.0,-1.0,0.06922614574432373,0.017531871795654297,0.0047922592546143505,0.0003073665286592586,0.2062337267398834,0.507892644405365,0.34899441957473754,0.49050015211105347,45.44911960000172,1.0498969554901123,-0.9245704412460327,0.28298144102096556,0.4268099224567413,0.019329190254211426,0.019329190254211426,-0.05789768695831299,-0.05789768695831299,-0.07674771428108215,0.08108272194862365
