design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
mild_s1_t3,mild_prior,1.0,t3,400,20,2,3,0.011204482909912864,1.011204482909913,1.0112585088916772,0.4171234051386515,0.46484869718551636,2.9608114402583863,-1.0,1.011204482909913,1.0112585088916772
mild_s1_t3,mild_prior,1.0,t3,400,40,1,3,0.8371933897336324,-0.16280661026636759,0.1676080020769644,0.36480173865954085,0.45621612668037415,2.9608114402583863,1.0,-0.16280661026636759,0.1676080020769644
mild_s1_t3,mild_prior,1.0,t3,400,40,2,3,-0.13966727256774902,0.860332727432251,0.8604024684338043,0.36480173865954085,0.45621612668037415,2.9608114402583863,-1.0,0.860332727432251,0.8604024684338043
mild_s1_t3,mild_prior,1.0,t3,400,60,1,3,0.8918461799621582,-0.1081538200378418,0.12876701440709803,0.3232683181762695,0.4607370396455129,2.9608114402583863,1.0,-0.1081538200378418,0.12876701440709803
mild_s1_t3,mild_prior,1.0,t3,400,60,2,3,-0.27000213662783307,0.729997863372167,0.7300364753598112,0.3232683181762695,0.4607370396455129,2.9608114402583863,-1.0,0.729997863372167,0.7300364753598112
mild_s1_t3,mild_prior,1.0,t3,400,80,1,3,0.9136685132980347,-0.08633148670196533,0.13141360677504785,0.2876385301351547,0.46819888552029926,2.9608114402583863,1.0,-0.08633148670196533,0.13141360677504785
mild_s1_t3,mild_prior,1.0,t3,400,80,2,3,-0.3742470443248749,0.6257529556751251,0.6257979573320576,0.2876385301351547,0.46819888552029926,2.9608114402583863,-1.0,0.6257529556751251,0.6257979573320576
mild_s1_t3,mild_prior,1.0,t3,400,100,1,3,0.9258986512819926,-0.0741013487180074,0.15014535451137456,0.25844256381193803,0.47815008958180744,2.9608114402583863,1.0,-0.0741013487180074,0.15014535451137456
mild_s1_t3,mild_prior,1.0,t3,400,100,2,3,-0.4487265646457672,0.5512734353542328,0.5513271845318626,0.25844256381193803,0.47815008958180744,2.9608114402583863,-1.0,0.5512734353542328,0.5513271845318626
mild_x10_s1_t3,mild_x10,1.0,t3,400,10,1,3,-0.16034850478172302,-1.160348504781723,1.2558796398863423,8.100818888346355,9.173388481140137,9.294814024819791,1.0,-1.160348504781723,1.2558796398863423
mild_x10_s1_t3,mild_x10,1.0,t3,400,10,2,3,0.18345902363459268,1.1834590236345928,1.2905417943321429,8.100818888346355,9.173388481140137,9.294814024819791,-1.0,1.1834590236345928,1.2905417943321429
mild_x10_s1_t3,mild_x10,1.0,t3,400,20,1,3,-0.12681815028190613,-1.1268181502819061,1.2124195454824302,7.963736915588378,9.235888004302979,9.294814024819791,1.0,-1.1268181502819061,1.2124195454824302
mild_x10_s1_t3,mild_x10,1.0,t3,400,20,2,3,0.1947953701019287,1.1947953701019287,1.2931366540717903,7.963736915588378,9.235888004302979,9.294814024819791,-1.0,1.1947953701019287,1.2931366540717903
mild_x10_s1_t3,mild_x10,1.0,t3,400,40,1,3,-0.14342153072357178,-1.1434215307235718,1.2038285322965396,7.506243737538656,9.46926752726237,9.294814024819791,1.0,-1.1434215307235718,1.2038285322965396
mild_x10_s1_t3,mild_x10,1.0,t3,400,40,2,3,0.12847957015037537,1.1284795701503754,1.2325722632091827,7.506243737538656,9.46926752726237,9.294814024819791,-1.0,1.1284795701503754,1.2325722632091827
mild_x10_s1_t3,mild_x10,1.0,t3,400,60,1,3,-0.1303524672985077,-1.1303524672985077,1.1671673788215455,7.113469727834065,9.743406931559244,9.294814024819791,1.0,-1.1303524672985077,1.1671673788215455
mild_x10_s1_t3,mild_x10,1.0,t3,400,60,2,3,0.06325587630271912,1.0632558763027191,1.1858871035516687,7.113469727834065,9.743406931559244,9.294814024819791,-1.0,1.0632558763027191,1.1858871035516687
mild_x10_s1_t3,mild_x10,1.0,t3,400,80,1,3,-0.11653473352392514,-1.116534733523925,1.1369545468149669,6.805054569244384,9.974266370137533,9.294814024819791,1.0,-1.116534733523925,1.1369545468149669
mild_x10_s1_t3,mild_x10,1.0,t3,400,80,2,3,0.02098103364308675,1.0209810336430867,1.1622133322554364,6.805054569244384,9.974266370137533,9.294814024819791,-1.0,1.0209810336430867,1.1622133322554364
mild_x10_s1_t3,mild_x10,1.0,t3,400,100,1,3,-0.07838127575814724,-1.0783812757581472,1.0913480351299998,6.480355739593506,10.184596061706543,9.294814024819791,1.0,-1.0783812757581472,1.0913480351299998
mild_x10_s1_t3,mild_x10,1.0,t3,400,100,2,3,-0.015919501582781475,0.9840804984172186,1.1396000733710647,6.480355739593506,10.184596061706543,9.294814024819791,-1.0,0.9840804984172186,1.1396000733710647
paper4_s10_t3,paper_case4,10.0,t3,400,10,1,3,-0.08740697552760442,-1.0874069755276043,1.1325174088292485,10.546908442179362,11.66023031870524,4.030315638315687,1.0,-1.0874069755276043,1.1325174088292485
paper4_s10_t3,paper_case4,10.0,t3,400,10,2,3,0.22754993041356406,1.227549930413564,1.2652022471087938,10.546908442179362,11.66023031870524,4.030315638315687,-1.0,1.227549930413564,1.2652022471087938
paper4_s10_t3,paper_case4,10.0,t3,400,20,1,3,-0.04475861291090647,-1.0447586129109065,1.0920419140425386,10.38193136850993,11.51826254526774,4.030315638315687,1.0,-1.0447586129109065,1.0920419140425386
paper4_s10_t3,paper_case4,10.0,t3,400,20,2,3,0.2459106594324112,1.2459106594324112,1.2789853045014101,10.38193136850993,11.51826254526774,4.030315638315687,-1.0,1.2459106594324112,1.2789853045014101
paper4_s10_t3,paper_case4,10.0,t3,400,40,1,3,-0.02778943379720052,-1.0277894337972004,1.0925098152231296,9.63494160970052,11.584232330322266,4.030315638315687,1.0,-1.0277894337972004,1.0925098152231296
paper4_s10_t3,paper_case4,10.0,t3,400,40,2,3,0.20076524652540684,1.2007652465254068,1.2179017214665195,9.63494160970052,11.584232330322266,4.030315638315687,-1.0,1.2007652465254068,1.2179017214665195
paper4_s10_t3,paper_case4,10.0,t3,400,60,1,3,-0.02615120013554891,-1.0261512001355488,1.1109153484194323,8.84558245340983,11.905837376912435,4.030315638315687,1.0,-1.0261512001355488,1.1109153484194323
paper4_s10_t3,paper_case4,10.0,t3,400,60,2,3,0.13667289090032378,1.1366728909003239,1.1472127637559484,8.84558245340983,11.905837376912435,4.030315638315687,-1.0,1.1366728909003239,1.1472127637559484
paper4_s10_t3,paper_case4,10.0,t3,400,80,1,3,-0.008812228838602701,-1.0088122288386028,1.1151044446675284,8.239122676849364,12.171903292338053,4.030315638315687,1.0,-1.0088122288386028,1.1151044446675284
