case,n,n_train,n_val,rep,tau,method,setting_seed,fit_seed,data_sha256,theta1,theta2,se_theta1,se_theta2,lower_theta1,upper_theta1,lower_theta2,upper_theta2,covered_theta1,covered_theta2,t_theta1,root_n_error_theta1,root_n_train_error_theta1,fit_seconds,inference_seconds,density_seconds,projection_seconds,total_seconds,inference_wall_seconds,epochs_run,best_epoch,best_validation_loss,density_zero,projection_epochs,projection_best_epochs,selected_hyperparameters
2,4000,3200,800,20,0.5,DPLQR,44260924,44760924,3c4fc711bfe4d15e1d632b88e3e667ba97bf86fce08ff9e6fd9863f49d0b2012,0.8506995439529419,-0.7766467928886414,0.059485006617988244,0.058563875583015366,0.7341110733615581,0.9672880145443257,-0.8914298798264362,-0.6618637059508465,False,False,-2.5098838267912322,-9.442589936211258,-8.44570919240951,1.1726284999967902,1.330379900005937,0.23108160000265343,1.0992983000032837,2.5030084000027273,1.3398614000034286,40,25,0.5936815142631531,0.35092440306323475,"[23, 26]","[8, 11]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,1,0.5,DPLQR,50760905,51260905,07186b455866b49073d60cc9802ff5f48c8881aeb8da4aebf4cb26e3a7a6f9dd,-0.2290624976158142,0.1363830417394638,0.18778433715826082,0.17171507727675572,-0.597113035306732,0.13898804007510357,-0.20017232532548962,0.47293840880441723,False,False,-6.545074611733914,-27.482672932646338,-24.581249952316284,0.29348819999722764,1.9422721000009915,1.7492047999985516,0.19306730000243988,2.235760299998219,1.9506885000009788,44,29,0.664632260799408,0.33772677309982707,"[29, 22]","[14, 7]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,2,0.5,DPLQR,50760906,51260906,0b662ac19523ed2889b3077c71c9d322b6c1ac2d4368d58f7509486b9ef32843,0.08311336487531662,-0.40429064631462097,0.2076546169198727,0.17506855741063443,-0.3238822055110956,0.49010893526172883,-0.7474187136648472,-0.0611625789643947,False,False,-4.415440642374356,-20.502208437998384,-18.337732702493668,0.5503791000010096,1.1739213000037125,0.2444619000016246,0.9294594000020879,1.7243004000047222,1.1881854000021121,43,28,0.594713568687439,0.3263833140188504,"[50, 43]","[35, 28]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,3,0.5,DPLQR,50760907,51260907,272be430285a9081050cf3428e716df06250ce566272b36a49c7319ae16c5c00,0.32695674896240234,-0.15045402944087982,0.16829384639712375,0.16363544848367068,-0.0028931287956761587,0.6568066267204808,-0.47117361506293376,0.17026555618117412,False,False,-3.9992148580965607,-15.049704611175242,-13.460865020751953,0.34404260000155773,0.40150320000975626,0.2138489000062691,0.18765430000348715,0.745545800011314,0.4087991999986116,64,49,0.6442086696624756,0.36025716463969926,"[19, 29]","[4, 14]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,4,0.5,DPLQR,50760908,51260908,df31a25deed2ec21948f961dc569df7e2a4d86f11608629c6d72817da887528d,0.3904341459274292,-0.1207781657576561,0.12830433237397548,0.13108661978897704,0.13896227541398076,0.6419060164408776,-0.37770321939914664,0.13614688788383444,False,False,-4.750937421940178,-13.630306864689855,-12.191317081451416,1.2794590999983484,0.7209057999934885,0.228949600001215,0.49195619999227347,2.000364899991837,0.7303852999975788,100,91,0.766815721988678,0.4535827950908233,"[19, 41]","[4, 26]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,5,0.5,DPLQR,50760909,51260909,f5f113ffe37c6a66f157d5902d6d3eb886b0eceec7e63fa250f609c9bfca685b,0.5233251452445984,0.14167433977127075,0.18544267138443998,0.21103530309975524,0.15986418813419956,0.8867861023549972,-0.2719472537707435,0.555295933313285,False,False,-2.5704701684716897,-10.65877378397917,-9.533497095108032,0.20101019999856362,0.4764495999988867,0.22778480000124546,0.24866479999764124,0.6774597999974503,0.4829539999991539,36,21,0.6020640134811401,0.31030421102216554,"[17, 44]","[2, 29]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,6,0.5,DPLQR,50760910,51260910,956bf85b0f4610432ed7b33baa1747cd99ee08fe115f51a17472a33191cf9f1b,0.8035182952880859,0.4202394187450409,0.2017461230467354,0.18962017376146734,0.4081031600958984,1.1989334304802735,0.04859070743033794,0.7918881300597438,True,False,-0.9739057273799417,-4.393464480708806,-3.9296340942382812,0.38575000000128057,0.6985643000007258,0.23621730000013486,0.4623470000005909,1.0843143000020063,0.7125032000039937,30,15,0.6381741166114807,0.28878500330468726,"[21, 26]","[6, 11]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,7,0.5,DPLQR,50760911,51260911,9ecfa137ee26905330209ee5b860e4059da89bc34c22ebabd81abb9a738e5206,0.2509128749370575,-0.03316767141222954,0.18386436878971638,0.18385562421000437,-0.10945466593097697,0.611280415805092,-0.39351807321896853,0.32718273039450946,False,False,-4.074128826557282,-16.75009732710626,-14.98174250125885,0.6022994000013568,0.8284707999991952,0.22625690000131726,0.6022138999978779,1.430770200000552,0.8420380999959889,50,35,0.5626776218414307,0.32508757640530916,"[20, 39]","[5, 24]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,8,0.5,DPLQR,50760912,51260912,4e7013110c848a4e791c36483904d62cd0b05a46f5187d6837c5c0e9ef13024c,-0.30980491638183594,-0.2295164167881012,0.1955935211420511,0.1752076772763994,-0.6931611734296297,0.07355134066595787,-0.5729171540647608,0.11388432048855845,False,False,-6.696565963606644,-29.288128302932133,-26.19609832763672,0.47878279999713413,0.835862799998722,0.24416809999820543,0.5916947000005166,1.3146455999958562,0.8490558000048622,36,21,0.5550296902656555,0.3291617558978011,"[34, 22]","[19, 7]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
3,500,400,100,9,0.5,DPLQR,50760913,51260913,bfa707ba756b604bb7403a854c2e49eb7947700c48d8a71acfb7344535a0fcf1,0.796406626701355,-0.7258508801460266,0.14629351521324724,0.132109761770531,0.509676605711628,1.083136647691082,-0.9847812552224338,-0.4669205050696194,True,False,-1.3916773617878664,-4.5524862246426085,-4.0718674659729,0.5853347000011127,0.900684000007459,0.20668450000084704,0.6939995000066119,1.4860187000085716,0.9126394999984768,50,35,0.5508496761322021,0.44853473643341935,"[27, 45]","[12, 30]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
