case,n,rep,tau,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss,epoch_budget,rule,selected_epoch,epochs_trained
1,1000,5,0.5,0.40930747985839844,0.2625252306461334,-0.5906925201416016,1.2625252306461334,0.5814849138259888,0.07122323451057876,0.6551543923539259,0.5758517129089236,0.6329609443683247,10,patience15,10,10
1,1000,5,0.5,0.5782696604728699,0.08013781160116196,-0.4217303395271301,1.080137811601162,0.5628648996353149,0.03790998308277454,0.6123968517395115,0.5549708710993537,0.6041643008589624,25,terminal,25,25
1,1000,5,0.5,0.5680078864097595,0.09414759278297424,-0.4319921135902405,1.0941475927829742,0.5626653432846069,0.044449079639133485,0.6138183962011117,0.5536107939542564,0.6049387076978933,25,validation_best,24,25
1,1000,5,0.5,0.5680078864097595,0.09414759278297424,-0.4319921135902405,1.0941475927829742,0.5626653432846069,0.044449079639133485,0.6138183962011117,0.5536107939542564,0.6049387076978933,25,patience15,24,25
1,1000,5,0.5,0.8151810169219971,-0.2873179614543915,-0.18481898307800293,0.7126820385456085,0.5784114599227905,0.047559467730671635,0.5850798747053418,0.5640452651923313,0.6195046470247157,50,terminal,50,50
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,50,validation_best,31,50
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,50,patience15,31,46
1,1000,5,0.5,0.9623178243637085,-0.6865646839141846,-0.037682175636291504,0.31343531608581543,0.5839029550552368,0.013477131702671912,0.5023760331179494,0.5684240060124925,0.6045319655935152,100,terminal,100,100
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,100,validation_best,31,100
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,100,patience15,31,46
1,1000,5,0.5,0.9960489273071289,-0.8887747526168823,-0.003951072692871094,0.11122524738311768,0.6374006271362305,0.0206051979442889,0.4603650976883173,0.6042678306718149,0.6371671692531523,200,terminal,200,200
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,200,validation_best,31,200
1,1000,5,0.5,0.6432914733886719,-0.005415088497102261,-0.3567085266113281,0.9945849115028977,0.5589425563812256,0.039005256402582,0.5983031367468081,0.5497714341520985,0.5992227301836359,200,patience15,31,46
1,1000,5,0.5,0.9930868148803711,-1.0120956897735596,-0.006913185119628906,-0.01209568977355957,0.7254425287246704,0.0739181237005482,0.5132432456715003,0.7310293224667245,0.7861521019844117,500,terminal,500,500
