case,rep,split,verified_against_first_pass,max_abs_difference,array_sha256
3,7,all_train_validation_test_arrays,False,,c3a7c1d0e974ed7611d49e18f5c87108cf6da9f90698774d97e19bd65fb51005
3,8,train,False,,70d10cb089be6e5500b0559b3c391df3c6e344328662e43955e2adf814d3ce49
3,8,test,False,,ee833d93cfa92fd3c85e14c2747ff16c97adc8dc9bb07cb0eebc1cad940c749f
3,8,all_train_validation_test_arrays,False,,734f3e08b4291b4c3fbbc899140edb677396b12449998011db8bac72d7547ed7
3,9,train,False,,a557e620cbb0b1493b49517b346e84f7bb293f12c80467f3602dcf4b17870731
3,9,test,False,,90a0aa0208eddc01daf2f018316acebd418980a63c714bb70cf3bfd5e5fe379c
3,9,all_train_validation_test_arrays,False,,8a40f2c403910a336fdf05903cd043bd204f1ec0cd184e584776932aa585b3c3
3,10,train,False,,69c1a0cf38b504b3a58280978d77c51185feb4df3048eb9d33b4f74f06adf1d7
3,10,test,False,,c979526d12f687087b24bfd988ddfedc2022967504cf19703de0737953cd5dc6
3,10,all_train_validation_test_arrays,False,,99a68ca1ab7a65f8617aca10e9ef65db0ba4a5ac3f1fb3e8911ba7036d79cecc
