n,stage,metric,epsilon,probability,ci_low,ci_high,completed_reps
2000,baseline,R_theta,0.5,0.5,0.236593090512564,0.7634069094874361,10
2000,polished,S,0.02,0.8,0.49016247153664183,0.9433178485456247,10
2000,polished,S,0.05,0.8,0.49016247153664183,0.9433178485456247,10
2000,polished,S,0.1,0.2,0.05668215145437519,0.5098375284633583,10
2000,polished,E,0.02,1.0,0.7224672001371107,0.9999999999999999,10
2000,polished,E,0.05,1.0,0.7224672001371107,0.9999999999999999,10
2000,polished,E,0.1,0.5,0.236593090512564,0.7634069094874361,10
2000,polished,T,0.02,0.0,0.0,0.2775327998628892,10
2000,polished,T,0.05,0.0,0.0,0.2775327998628892,10
2000,polished,T,0.1,0.0,0.0,0.2775327998628892,10
2000,polished,R_score,0.02,0.7,0.39677814746114537,0.8922087325936989,10
2000,polished,R_score,0.05,0.5,0.236593090512564,0.7634069094874361,10
2000,polished,R_score,0.1,0.2,0.05668215145437519,0.5098375284633583,10
