n,rep,stage,seed,theta_hat,theta_error,root_n_theta_error,S,E,T,W,R_score,R_theta,Psi_hat,root_n_G,root_n_phi_score,a_hat,root_n_a,final_training_loss,frozen_h_loss_gain,n_frozen_h_loss_gain,exact_zero_residual_count,near_zero_residual_count,root_n_tie_score_bound,selected_polish_epoch,scaled_population_integration_se,scaled_population_refinement_gap,integration_adequate,decomposition_error,population_score,population_score_se,population_score_refinement_gap,h_l2_squared,h_l2_squared_se,m_l2_squared,m_l2_squared_se,sqrt_n_prediction_error_squared,n_quarter_h_l2,n_quarter_m_l2
500,8,baseline,520270495,0.9054558060010673,-0.09454419399893266,-2.114072446595411,-0.1314374347296279,0.1385806359607744,0.005408350206158957,-0.06457820020190895,-0.2754264208965613,-2.7615666167989565,-0.005878060776872794,-0.22495667704861919,0.0935192423189912,0.08238479784056926,1.8421800828409076,0.41300361358171367,0.00023154232866928748,0.11577116433464374,0,0,0.0,0,3.003612152176273e-07,1.7274806573716338e-08,True,-5.551115123125783e-17,-0.009187550314020482,1.3432561900621177e-08,7.725528359397993e-10,0.05079566985296281,3.072448816944022e-06,0.053410748011680526,2.8794159784573534e-06,1.1857940264182947,1.0657512409275516,1.0928406255407483
500,8,polished,520270495,0.9161276107446356,-0.08387238925536444,-1.8754436381031787,-0.0968952961891473,0.14989664488256726,0.0048346995675047355,-0.06457820020190895,-0.2516266406392193,-2.522937808306724,-0.004333289379578193,-0.16463941358280282,0.06774411739365548,0.05667058838447512,1.2671928795259637,0.4125416332306527,0.00015378898847939748,0.07689449423969874,0,0,0.0,500,2.8581107760072e-07,4.091291586794501e-08,True,0.0,-0.008148846220388339,1.2781859964753548e-08,1.8296812207690971e-09,0.051679961619359074,3.2514834901683475e-06,0.054168438647170546,3.2057689488814003e-06,1.1949235572650418,1.0749879406554614,1.1005649051741568
500,9,baseline,520271504,0.973962090171689,-0.026037909828311,-0.5822253636811328,-0.26334723684059647,0.33706897666912333,0.0018974826413695606,-0.5442451175774632,-0.6023136961510893,-6.039106163879302,-0.011777246465246213,-0.3444844259698064,0.0811371891292099,0.14636448051424325,3.272809279212913,0.3968128073054924,0.0007232772226522521,0.36163861132612607,0,0,0.0,0,6.351163976179186e-08,3.7541406715326657e-07,True,0.0,-0.002512047777503753,2.8403268773969027e-09,1.67890274772875e-08,0.06873636418232004,3.0586460351962525e-06,0.06826476594208936,3.011287334657902e-06,1.5407818112583147,1.239754745253469,1.2354944642313226
500,9,polished,520271504,0.9847530774337886,-0.015246922566211407,-0.3409315530572425,-0.22229220441813524,0.35485019352196934,0.0011057224467231688,-0.5442451175774632,-0.5782481203868278,-5.797812353255413,-0.00994120959894459,-0.3521970270562415,0.12990482263810632,0.15132468261522322,3.383722770012198,0.3964070610887087,0.0005953263823209043,0.29766319116045215,0,0,0.0,500,3.7408285300358215e-08,2.208537346920439e-07,True,-1.1102230246251565e-16,-0.0014712111033147028,1.6729493770661422e-09,9.876879277122275e-09,0.06859315475923052,3.1499656813808894e-06,0.0683211415078434,3.1386309295213265e-06,1.535089107575487,1.238462582530464,1.236004517434788
500,10,baseline,520272513,1.001200849551904,0.0012008495519040263,0.02685181228807565,0.051606745343711805,-0.022469427913673793,-3.8584759207876615e-05,0.07143667720981445,0.07411475801659348,0.7431125920473113,0.0023079238137212067,-0.1550179822484298,0.2066247275921416,-0.008963875436196434,-0.20043834817175807,0.3977449760511339,1.562244922892475e-05,0.007811224614462375,0,0,0.0,0,4.645249187876588e-09,3.715109844465582e-09,True,1.3877787807814457e-17,0.00011804185177422226,2.0774185913035484e-10,-1.6614476312207423e-10,0.029720598986618572,3.938312381581894e-06,0.029739523939185813,3.936441971478347e-06,0.6645808579075934,0.8152133442608167,0.8154728514579856
500,10,polished,520272513,1.010049666241503,0.010049666241503052,0.22471736867185646,0.05769522808435622,-0.03582707626492557,-0.00032668773647263546,0.07143667720981445,0.09384899208575442,0.9409781484310921,0.0025802090394795095,-0.034730642436403586,0.09242587052075987,-2.549036880812883e-05,-0.0005699819742651637,0.3974008054528961,2.553295191942695e-08,1.2766475959713475e-05,0,0,0.0,500,3.859899077991078e-08,4.067927587051858e-08,True,0.0,0.0009876992721912638,1.7261993449353624e-09,-1.8192325224389294e-09,0.03002151190958589,3.912493151374167e-06,0.03009932262607876,3.892784724102728e-06,0.671865997809991,0.8193298567558341,0.8203909523429033
1000,1,baseline,1020264932,0.9643194365972747,-0.035680563402725296,-1.1283184855065966,0.1092381351423121,-0.12427953734079618,0.0016065694791092405,0.3444445904107722,0.23191110300399906,2.3252597119627456,0.0034544131439898794,-0.015606827625625616,0.12484496276793787,-0.004590709872890169,-0.14517099275355003,0.4092015871574401,7.82148815114958e-06,0.00782148815114958,0,0,0.0,0,1.551304288185513e-07,1.0213330818985595e-07,True,2.7755575615628914e-17,-0.003507817144739828,4.905654894652458e-09,3.2297387884787365e-09,0.028826849329663305,3.0972876721702843e-06,0.027122545156323494,3.058498303666267e-06,0.9216497762974871,0.954769614348059,0.9261156441543889
1000,1,polished,1020264932,0.9604417174368881,-0.03955828256311189,-1.2509427322395708,0.03235802691632805,-0.18913583783072044,0.001812760899089591,0.3444445904107722,0.21968110384795891,2.2026354652297715,0.0010232506564463132,-0.0031779982212206026,0.035536025137548825,-0.007199258784029683,-0.2276605522250804,0.40883090999413874,7.366646276707467e-06,0.007366646276707467,0,0,0.0,500,1.3373425994975873e-07,3.6872440184322358e-09,True,0.0,-0.003888043330678845,4.229048626382729e-09,1.1660089387077743e-10,0.02922362588931092,2.325985314889457e-06,0.027938663662493524,2.3002573073740104e-06,0.9365034795069132,0.9613179458373083,0.9399458067083514
1000,2,baseline,1020265941,1.1596087924094018,0.15960879240940185,5.047273186027039,0.07977258482525061,0.017470383039290216,-0.0074932137956079115,-0.43359725307908953,0.06979541558156827,0.6998046485455204,0.002522630628867771,-0.14900329956008568,0.2287758843853362,-0.0214039592978435,-0.6768526232672377,0.41004082805740527,3.610174750023898e-05,0.03610174750023898,0,0,0.0,0,6.72567269554057e-07,6.230392667851838e-07,True,-4.163336342344337e-17,0.01568171767809425,2.1268444514712393e-08,-1.9702231547624738e-08,0.024884059231613728,3.611627921461035e-06,0.04175268558276733,4.319906744759407e-06,0.9883003405699207,0.8870755582386363,1.1490586793998796
1000,2,polished,1020265941,1.1599531961516636,0.1599531961516636,5.058164188629365,0.04538033547646272,-0.018352667443752246,-0.007148633014860906,-0.43359725307908953,0.07088163593507585,0.7106956511478475,0.0014350522108816462,-0.01313006706386747,0.058510402540330075,-0.002185459645023892,-0.06911030212658571,0.40982001254551836,8.440268635667714e-07,0.0008440268635667714,0,0,0.0,500,7.170992573966767e-07,7.307035431322851e-07,True,-2.7755575615628914e-17,0.015726963582724216,2.267666961788845e-08,-2.3106874906531072e-08,0.023269442363758278,3.7078731776864555e-06,0.037488473686159964,4.144924428112563e-06,0.9381117596726731,0.8578137195888655,1.0888019234532689
