n,rep,stage,seed,theta_hat,theta_error,root_n_theta_error,S,E,T,W,R_score,R_theta,Psi_hat,root_n_G,root_n_phi_score,a_hat,root_n_a,final_training_loss,frozen_h_loss_gain,n_frozen_h_loss_gain,exact_zero_residual_count,near_zero_residual_count,root_n_tie_score_bound,selected_polish_epoch,scaled_population_integration_se,scaled_population_refinement_gap,integration_adequate,decomposition_error,population_score,population_score_se,population_score_refinement_gap,h_l2_squared,h_l2_squared_se,m_l2_squared,m_l2_squared_se,sqrt_n_prediction_error_squared,n_quarter_h_l2,n_quarter_m_l2
2000,7,polished,2020273986,0.9539154161127791,-0.04608458388722092,-2.0609652457323495,0.014963728836868964,-0.09295079742013576,0.0011360903492294294,0.312329979647916,0.1067784359077753,1.0706153862692147,0.0003345991487611286,0.0068649782264129525,0.00809875061045588,-0.004564522832083449,-0.204131666747769,0.39254249259704216,6.354527428142909e-07,0.0012709054856285817,0,0,0.0,500,4.9747203507396304e-08,1.6114867975376216e-08,True,1.3877787807814457e-17,-0.004570868494335174,1.112381287330541e-09,3.603394024137563e-10,0.010644937174670216,4.902710032673693e-07,0.010830917867436608,4.555495954611484e-07,0.499800744214443,0.6899681606969579,0.6959693759111145
2000,8,baseline,2020274995,1.171643670328453,0.17164367032845296,7.6761382952396895,0.10702598093892102,0.10705256040548383,-0.007944804807054062,-0.7576658037044307,0.007918225340491247,0.07939219009350017,0.0023931736873802414,-0.111127508058398,0.21815348899731907,-0.012804937439998767,-0.5726542112693875,0.37865058584341593,1.4650745064515025e-05,0.02930149012903005,0,0,0.0,0,2.3839700822895667e-07,3.338376868567909e-07,True,0.0,0.01694132807816079,5.330719160325239e-09,7.464837612630726e-09,0.013723408463456552,6.482670685702455e-07,0.025299539437053112,8.74012777582304e-07,0.9431196218816293,0.7834088869458246,1.063686889838241
2000,8,polished,2020274995,1.1670946507012214,0.16709465070122143,7.472699952890281,0.08731374554520331,0.10711360198527375,-0.007428042726071449,-0.7576658037044307,-0.01237181371399898,-0.12404615225590965,0.0019523947040919404,0.025602653208936912,0.061711092336266454,-0.006891207130701759,-0.30818415182560827,0.37850413631265917,5.78467096506996e-06,0.01156934193013992,0,0,0.0,500,2.512165654261601e-07,2.4879721924090604e-07,True,1.3877787807814457e-17,0.016499184163653844,5.617373173669173e-09,5.563274948355845e-09,0.01326127434001316,6.998152328409009e-07,0.022565768256559145,8.601319183854571e-07,0.9052242649566706,0.7701053290627599,1.0045754504881468
2000,9,baseline,2020276004,0.9783387942926005,-0.02166120570739949,-0.9687185687270335,0.13701975905764202,-0.07125144360081667,0.0009417389832581669,0.3039451623939942,0.20732946367520053,2.0787915832493544,0.0030638549551353007,0.34689165972627534,-0.2098719006686335,-0.019191514836024264,-0.8582706352909197,0.38437116500524776,2.7373454263235342e-05,0.05474690852647068,0,0,0.0,0,3.595882576326722e-08,8.628701641968314e-08,True,0.0,-0.002139334776452352,8.040637879773625e-10,-1.92943634290052e-09,0.019606737213702354,7.555842335824055e-07,0.019185996070208704,7.608532321951154e-07,0.8820858475837091,0.9363973219399262,0.9262957565381641
2000,9,polished,2020276004,0.9759283600512835,-0.024071639948716528,-1.0765164651045942,0.06524333402227804,-0.13239342641349966,0.001058581411412532,0.3039451623939942,0.1965781790243652,1.9709936868717937,0.0014588852995253846,0.01864320941013457,0.04660012461214337,-0.010580094444628005,-0.4731562077311221,0.38405649749680426,1.6542812429354292e-06,0.0033085624858708584,0,0,0.0,500,4.686945170966899e-08,9.364345163342216e-10,True,0.0,-0.0023771281335794384,1.0480328009096358e-09,-2.093931235000457e-11,0.019807750103442996,8.954945354399971e-07,0.018761760923771787,8.998984339044316e-07,0.8923078934392563,0.941185164700624,0.9159975196817179
2000,10,baseline,2020277013,1.0026639984801822,0.0026639984801821726,0.11913763387286928,0.2908876472284002,0.23736570805769197,-0.00012809523271864465,0.04176777456870854,0.0536500344034269,0.5379227726822231,0.0065044455301768115,0.2677454200635621,0.02314222716483804,-0.03092577844068024,-1.3830428570091693,0.3957961443593276,0.00012065926068405286,0.24131852136810572,0,0,0.0,0,4.168357239371667e-09,9.986387496147708e-09,True,1.3877787807814457e-17,0.00026283111068793125,9.32073014173841e-11,-2.2330241291040193e-10,0.021977129094119426,7.263584372937643e-07,0.021865064014990533,7.219737630125446e-07,0.9829264377136807,0.9913864494206022,0.9888555958268458
2000,10,polished,2020277013,0.9973148275438809,-0.0026851724561191004,-0.1200845628638476,0.22190781461516718,0.19199801341231093,0.0001187289716258564,0.04176777456870854,0.029791072231230398,0.29870057594550625,0.0049620095821793515,0.0284173741635383,0.19349044045162883,-0.03596914099391249,-1.6085888870932536,0.39542055969533646,7.854103614407526e-05,0.15708207228815052,0,0,0.0,500,4.184254234388553e-09,1.1866091978113039e-08,True,6.938893903907228e-18,-0.00026515234521427687,9.356276903234142e-11,2.65333882903257e-10,0.02018543383454248,7.239897530025257e-07,0.020267781515348807,7.28843963676568e-07,0.9028006561273763,0.9501158056717215,0.952051860157141
2000,11,baseline,2020278022,1.0497020710438127,0.049702071043812746,2.222744189529785,0.19571959145155604,0.02559450219869383,-0.0026286564480313968,-0.04893291322911803,0.1727537457008936,1.732117694089094,0.0043764231101416605,-0.19371713804921184,0.389436729500768,-0.03624703943253051,-1.6210168830850726,0.39855163440103564,9.311849007548334e-05,0.18623698015096668,0,0,0.0,0,1.7962415841804476e-07,9.923791794868779e-08,True,0.0,0.004898285845650254,4.016518286239391e-09,-2.2190273047881237e-09,0.02420193182003942,1.8272743948946742e-06,0.02667943953881751,1.8286055341760375e-06,1.109962042133525,1.0403572918610542,1.0923098499088213
2000,11,polished,2020278022,1.0440325167394566,0.04403251673945663,1.9691940129964485,0.19308631501061485,0.047870747500297794,-0.0022502067849778096,-0.04893291322911803,0.14746577429529487,1.478567517555758,0.004317541258886728,0.018592819414818135,0.17449349559579677,-0.013782984070165122,-0.6163937862737189,0.3981742033747159,2.531581187992238e-05,0.05063162375984476,0,0,0.0,500,1.4806534542566987e-07,1.9377111513680846e-07,True,0.0,0.004341292006616855,3.3108417748378534e-09,-4.3328538552184215e-09,0.02335047556073747,1.6897999050143776e-06,0.02448943392925147,1.652919564546712e-06,1.0659421553002562,1.0218928579920352,1.0465184087850157
2000,12,baseline,2020279031,1.1154435155129774,0.11544351551297738,5.162790964971379,0.19154859819162093,-0.05534311888959109,-0.007644102677519249,-0.2603780804416675,0.25453581975873124,2.552106730854463,0.004283156865512576,0.1528532751899559,0.038695323001664894,-0.047737691851146465,-2.1348944813620254,0.4241166985256783,7.83091865245722e-05,0.1566183730491444,0,0,0.0,0,2.540960981459487e-07,7.284817458717917e-07,True,-5.551115123125783e-17,0.01134289750193713,5.681761482717995e-09,-1.6289347041370528e-08,0.027499315872331797,1.092669481747448e-06,0.03366607978672288,1.116479575546222e-06,1.3788094772191897,1.1089665425545787,1.227026022047161
