n,rep,seed,theta_hat,theta_error,Psi_hat,Sn,abs_Sn,G_theta,sqrt_n_G_theta,abs_sqrt_n_G_theta,a_hat,abs_a_hat,sqrt_n_a_hat,abs_sqrt_n_a_hat,final_training_loss
500,11,520273522,1.0115557231938397,0.011555723193839684,-0.005257872652250772,-0.11756960667469839,0.11756960667469839,-0.007938092622912942,-0.17750114716522944,0.17750114716522944,0.05158597710739352,0.05158597710739352,1.153497514978799,1.153497514978799,0.4007204131544441
500,12,520274531,0.9318899151267335,-0.06811008487326653,-0.0060217127946836655,-0.1346495914989291,0.1346495914989291,-0.00835611721114479,-0.18684846112075715,0.18684846112075715,0.05533755421762678,0.05533755421762678,1.2373853293919368,1.2373853293919368,0.397583676781467
500,13,520275540,0.9901624699522513,-0.009837530047748677,-0.0077724076304330715,-0.17379631810486412,0.17379631810486412,-0.011481615221676105,-0.2567367212716409,0.2567367212716409,0.17806923174309527,0.17806923174309527,3.981749068787244,3.981749068787244,0.3987617376457115
500,14,520276549,0.8470347321336683,-0.1529652678663317,0.005264001008918599,0.11770664089569466,0.11770664089569466,-0.0074394812938613965,-0.1663518589041217,0.1663518589041217,-0.023529511807813736,0.023529511807813736,-0.5261358787965549,0.5261358787965549,0.376786469491785
500,15,520277558,0.8114411954730575,-0.18855880452694251,0.004549483111758366,0.10172953500378978,0.10172953500378978,2.93113004316643e-05,0.0006554206027412031,0.0006554206027412031,-0.035291677190752775,0.035291677190752775,-0.7891458923850202,0.7891458923850202,0.3711061912631086
500,16,520278567,0.9771111426323419,-0.02288885736765811,-0.0062295824963530515,-0.1392976993328826,0.1392976993328826,-0.008422492199271115,-0.1883326509753192,0.1883326509753192,0.03303671604556602,0.03303671604556602,0.7387234283124365,0.7387234283124365,0.35680064699275005
500,17,520279576,0.8519578331426314,-0.1480421668573686,-0.004423743235140092,-0.09891790588778084,0.09891790588778084,-0.008094138546635711,-0.18099044009578802,0.18099044009578802,0.057022664326303985,0.057022664326303985,1.2750655369176795,1.2750655369176795,0.37811030098039056
500,18,520280585,0.9938229716870894,-0.00617702831291056,-0.0004223197941042196,-0.0094433576786075,0.0094433576786075,-0.006107230338536949,-0.13656182191217672,0.13656182191217672,0.009642122783714456,0.009642122783714456,0.21560441991785026,0.21560441991785026,0.38673575884021477
500,19,520281594,1.0662450130839822,0.06624501308398223,-0.004520749561815632,-0.10108703329472142,0.10108703329472142,-0.008347139725236484,-0.18664771843317696,0.18664771843317696,0.027725128712854343,0.027725128712854343,0.6199527248687356,0.6199527248687356,0.4015622095492592
500,20,520282603,0.9786549358789002,-0.02134506412109982,-0.003553388803453938,-0.07945618915009646,0.07945618915009646,-0.008465072552112717,-0.1892847766099167,0.1892847766099167,0.05055641078949421,0.05055641078949421,1.1304757122371287,1.1304757122371287,0.40524407020370684
500,21,520283612,0.8173803408973545,-0.18261965910264555,0.003158661029523259,0.07062980779893477,0.07062980779893477,0.0026439317263544084,0.0591201106799683,0.0591201106799683,-0.012749021029012082,0.012749021029012082,-0.28507677667445336,0.28507677667445336,0.3904453752358776
500,22,520284621,0.8480507409619817,-0.15194925903801826,-0.005133158542354656,-0.11478091439988744,0.11478091439988744,-0.007158110098384206,-0.16006020770414792,0.16006020770414792,0.016193089253580244,0.016193089253580244,0.36208848336726757,0.36208848336726757,0.40273482456133064
500,23,520285630,1.0382085212462873,0.038208521246287264,-0.0011322668608108359,-0.025318256694433217,0.025318256694433217,-0.0020513147112007743,-0.04586879137490281,0.04586879137490281,0.011786400529232272,0.011786400529232272,0.2635519279340286,0.2635519279340286,0.3852704020427911
500,24,520286639,1.043408878985632,0.04340887898563195,-0.01212319237647268,-0.27108282258100136,0.27108282258100136,-0.013311218579149436,-0.29764789606336306,0.29764789606336306,0.0408559953177307,0.0408559953177307,0.9135678281885897,0.9135678281885897,0.40543025588183573
500,25,520287648,1.0723575977292263,0.07235759772922634,-0.0053609109785790095,-0.11987361369427585,0.11987361369427585,-0.011172543820716498,-0.24982567464717315,0.24982567464717315,0.06618535409466317,0.06618535409466317,1.479949508705609,1.479949508705609,0.37796013314463256
500,26,520288657,0.874474719522751,-0.12552528047724898,-0.0027268870379217793,-0.060975047837561455,0.060975047837561455,-0.003933545360214791,-0.08795674818019171,0.08795674818019171,0.004730614933562109,0.004730614933562109,0.10577976566820527,0.10577976566820527,0.398418799488511
500,27,520289666,0.8647381149626524,-0.1352618850373476,-0.0031753449836978273,-0.07100287235561303,0.07100287235561303,-0.008166364883172137,-0.18260547007840028,0.18260547007840028,0.029603337303251653,0.029603337303251653,0.66195074570926,0.66195074570926,0.39282819512031886
500,28,520290675,0.7749956798173276,-0.22500432018267236,0.006329877978744522,0.14154037449751722,0.14154037449751722,0.00042393671895606924,0.009479513217439945,0.009479513217439945,-0.034504136647315185,0.034504136647315185,-0.7715359504833844,0.7715359504833844,0.41869575738657283
500,29,520291684,0.8601453879925374,-0.13985461200746263,0.0029045205066484756,0.06494705294908122,0.06494705294908122,-0.0005550891850438116,-0.012412171513329224,0.012412171513329224,-0.005823426836386328,0.005823426836386328,-0.13021578268156375,0.13021578268156375,0.38813492481027395
500,30,520292693,0.8210082954528375,-0.1789917045471625,-0.0027366901099118122,-0.06119425119114184,0.06119425119114184,-0.0055918349594589216,-0.1250372308830993,0.1250372308830993,0.06101855967840566,0.06101855967840566,1.3644164733004276,1.3644164733004276,0.3933776575743882
1000,1,1020264932,0.9643194365972747,-0.035680563402725296,0.0034544131439898794,0.1092381351423121,0.1092381351423121,-0.0004935312234661459,-0.015606827625625616,0.015606827625625616,-0.004590709872890169,0.004590709872890169,-0.14517099275355003,0.14517099275355003,0.40955405485501406
1000,2,1020265941,1.1596087924094018,0.15960879240940185,0.002522630628867769,0.07977258482525056,0.07977258482525056,-0.004711898054902359,-0.14900329956008568,0.14900329956008568,-0.021403959297843642,0.021403959297843642,-0.6768526232672422,0.6768526232672422,0.41014587402861186
1000,3,1020266950,1.0718710703233636,0.0718710703233636,0.0021624949302676997,0.06838409408212924,0.06838409408212924,-0.0030836886755143443,-0.0975147980949323,0.0975147980949323,-0.012416319255761648,0.012416319255761648,-0.39263849004013535,0.39263849004013535,0.41137164215161043
1000,4,1020267959,0.8838458082743199,-0.11615419172568009,-0.0007266437863268491,-0.022978494124015602,0.022978494124015602,0.00614914289207662,0.19445297196797073,0.19445297196797073,0.008869238427572016,0.008869238427572016,0.28046994542217907,0.28046994542217907,0.39843336353630066
1000,5,1020268968,1.0408907268601044,0.04089072686010442,-0.0017820543850339092,-0.0563535077099783,0.0563535077099783,-0.000845453500025192,-0.02673558715840831,0.02673558715840831,0.007523433738080775,0.007523433738080775,0.23791186437689915,0.23791186437689915,0.40796441698716934
1000,6,1020269977,0.96099515919261,-0.03900484080738997,0.006887039325260835,0.21778730602973448,0.21778730602973448,-0.0003646920690248079,-0.011532575827177345,0.011532575827177345,-0.03879536170286872,0.03879536170286872,-1.2268170563113365,1.2268170563113365,0.38271586310869005
1000,7,1020270986,1.0937645461122723,0.09376454611227225,-0.000728699009122038,-0.023043485975334545,0.023043485975334545,0.0035578472733007365,0.11250900950649902,0.11250900950649902,0.004996669361028348,0.004996669361028348,0.15800855895627755,0.15800855895627755,0.39209368805023187
1000,8,1020271995,0.9411191441536547,-0.05888085584634528,0.0010962202163065724,0.03466552700651222,0.03466552700651222,0.0037903820275195523,0.11986240409128807,0.11986240409128807,-0.007660522220002595,0.007660522220002595,-0.24224698281537682,0.24224698281537682,0.39739686487764514
1000,9,1020273004,1.0300336329296487,0.030033632929648668,0.003600744672042441,0.11386554436370129,0.11386554436370129,-0.00030755796076116493,-0.009725836685219749,0.009725836685219749,-0.034195634382640644,0.034195634382640644,-1.0813609068351024,1.0813609068351024,0.3911853296981585
1000,10,1020274013,0.9795857639507044,-0.020414236049295598,0.0019820806492925006,0.0626788935790971,0.0626788935790971,-0.007901532164852253,-0.2498683864601417,0.2498683864601417,-0.003686367073689597,0.003686367073689597,-0.11657316244308893,0.11657316244308893,0.38162527808895
1000,11,1020275022,0.9083496074919809,-0.0916503925080191,0.0029934512508966826,0.09466124017513669,0.09466124017513669,0.0026177640842576493,0.082780968832391,0.082780968832391,-0.014681246571188992,0.014681246571188992,-0.46426178055494566,0.46426178055494566,0.3980057287942203
1000,12,1020276031,0.9415473707853254,-0.058452629214674645,-0.001083210182545965,-0.03425411361532017,0.03425411361532017,-0.007480103031769904,-0.2365416271312373,0.2365416271312373,0.01022511869490634,0.01022511869490634,0.32334664421472376,0.32334664421472376,0.39353408324223005
1000,13,1020277040,1.023249363707523,0.023249363707523063,0.006966892898105854,0.2203124977246588,0.2203124977246588,-0.0007988846591730674,-0.025262951107542207,0.025262951107542207,-0.04300864153169857,0.04300864153169857,-1.3600526630988032,1.3600526630988032,0.42256450410434493
1000,14,1020278049,1.1030522015189081,0.10305220151890815,0.0005121673744126758,0.016196154463722984,0.016196154463722984,0.0005903734171458099,0.018669246681974623,0.018669246681974623,-0.0009659796541697986,0.0009659796541697986,-0.030546958805583307,0.030546958805583307,0.4049676567799901
1000,15,1020279058,1.1024402099137944,0.10244020991379443,0.0029142032892039787,0.09215519958638953,0.09215519958638953,-0.0036962683207978617,-0.11688626736847167,0.11688626736847167,-0.04123998717441599,0.04123998717441599,-1.3041229014728617,1.3041229014728617,0.40934169841232854
1000,16,1020280067,1.0533321583939443,0.05333215839394434,0.0028455636949500894,0.08998462503126857,0.08998462503126857,-0.0023333521713546222,-0.07378707444780101,0.07378707444780101,-0.029383486617324837,0.029383486617324837,-0.9291874330782287,0.9291874330782287,0.4133830458771422
1000,17,1020281076,1.0684966346342044,0.06849663463420441,0.0010519010060920876,0.03326403052273651,0.03326403052273651,-0.005394299139533294,-0.17058271661211646,0.17058271661211646,-0.007936985280398231,0.007936985280398231,-0.25098951241288586,0.25098951241288586,0.40185502401481804
1000,18,1020282085,1.146727002211608,0.14672700221160806,0.0012746793958309578,0.04030890177313164,0.04030890177313164,0.0012535066669793781,0.039639361298610114,0.039639361298610114,-0.004972596757566601,0.004972596757566601,-0.15724731639478579,0.15724731639478579,0.389110384007576
1000,19,1020283094,1.1396986439999977,0.13969864399999765,0.0007870248251116037,0.0248879102244835,0.0248879102244835,-0.0023023576131547792,-0.0728069404579795,0.0728069404579795,-0.008386959615737946,0.008386959615737946,-0.2652189502958248,0.2652189502958248,0.40997581640585556
1000,20,1020284103,1.004368784590985,0.004368784590984998,0.002855191530079331,0.09028908391071842,0.09028908391071842,0.003941426771961085,0.12463885830162108,0.12463885830162108,-0.026686712737560226,0.026686712737560226,-0.8439079551331763,0.8439079551331763,0.41153980053947203
1000,21,1020285112,1.1489774545445615,0.14897745454456146,0.006753995854800632,0.21358010208505873,0.21358010208505873,0.010739512959145938,0.33961321911796005,0.33961321911796005,-0.029115701289400678,0.029115701289400678,-0.9207193174760744,0.9207193174760744,0.3970396395441893
1000,22,1020286121,1.1416930010246562,0.1416930010246562,-0.0014170169498830157,-0.04481001044694996,0.04481001044694996,0.0013337364243296865,0.042176448992106215,0.042176448992106215,0.004306214535111589,0.004306214535111589,0.1361744602427574,0.1361744602427574,0.38253435136208935
1000,23,1020287130,0.8751709981797992,-0.12482900182020085,0.0036385800074999176,0.11506200272452283,0.11506200272452283,-0.005975026792920884,-0.18894693746161229,0.18894693746161229,-0.07319488472813238,0.07319488472813238,-2.3146254881437267,2.3146254881437267,0.41838416907802284
1000,24,1020288139,0.9898109823277028,-0.010189017672297185,0.0028586733946839855,0.09039919013726871,0.09039919013726871,0.002863623065086287,0.09055571245865267,0.09055571245865267,-0.006384411129087424,0.006384411129087424,-0.20189280686843541,0.20189280686843541,0.3915993844032289
1000,25,1020289148,0.9740697251173527,-0.02593027488264732,0.004778230634912248,0.15110091991915173,0.15110091991915173,0.003237390554709509,0.10237527828397998,0.10237527828397998,-0.0038175513893806464,0.0038175513893806464,-0.12072157475183176,0.12072157475183176,0.389702550694913
1000,26,1020290157,0.979898144569154,-0.020101855430845972,0.002787259044773415,0.08814087010389227,0.08814087010389227,0.006411165726127235,0.20273886151369339,0.20273886151369339,-0.020660417801713425,0.020660417801713425,-0.6533397766410346,0.6533397766410346,0.3996834629588041
1000,27,1020291166,0.9673700241943027,-0.032629975805697264,-0.0008840668908922744,-0.027956649791631556,0.027956649791631556,-0.004813981067339283,-0.15223144785720544,0.15223144785720544,0.012887083708313457,0.012887083708313457,0.4075253691551952,0.4075253691551952,0.38117081192614616
1000,28,1020292175,0.9535356958907746,-0.04646430410922542,0.0022595443482886627,0.07145306614752958,0.07145306614752958,0.0034385182628306615,0.10873549486630385,0.10873549486630385,-0.017107872376565126,0.017107872376565126,-0.5409984262942361,0.5409984262942361,0.3919319450794824
1000,29,1020293184,1.0784225622828627,0.0784225622828627,0.0023379021951084595,0.07393095883250098,0.07393095883250098,-0.0026876680306647705,-0.08499152571319946,0.08499152571319946,-0.012062545037979834,0.012062545037979834,-0.3814511669837856,0.3814511669837856,0.3928017397924254
1000,30,1020294193,1.0065314749318675,0.006531474931867454,-0.000574462103644871,-0.018166086769695076,0.018166086769695076,0.003636561281996263,0.11499816501890064,0.11499816501890064,0.010586044996544435,0.010586044996544435,0.33476013602109717,0.33476013602109717,0.41624657057667064
2000,1,2020267932,0.9619752129828891,-0.03802478701711087,0.000533645559284834,0.023865354929035656,0.023865354929035656,0.0007633423311332618,0.03413770685034255,0.03413770685034255,-0.006198644460103229,0.006198644460103229,-0.27721180762286607,0.27721180762286607,0.4036393449320627
2000,2,2020268941,1.050671935268784,0.05067193526878411,0.0023449588409117125,0.10486974745435408,0.10486974745435408,-0.0031417187685244415,-0.14050193465215158,0.14050193465215158,-0.022502779062766137,0.022502779062766137,-1.0063548733400818,1.0063548733400818,0.390115643444509
2000,3,2020269950,0.9014348929764733,-0.09856510702352672,0.0004380607020834182,0.01959067016259614,0.01959067016259614,0.0022858536039029216,0.10222648089879623,0.10222648089879623,-0.007634447506184002,0.007634447506184002,-0.3414228718896235,0.3414228718896235,0.3962620894622469
2000,4,2020270959,1.092455532560648,0.09245553256064798,0.00445242852237114,0.19911865681961624,0.19911865681961624,-0.0004537752743155177,-0.02029344719756224,0.02029344719756224,-0.024534460207406614,0.024534460207406614,-1.0972144163004955,1.0972144163004955,0.4076529833234845
2000,5,2020271968,1.0617821631394961,0.06178216313949614,0.0014950543850090715,0.06686086469878853,0.06686086469878853,-0.0019991950115819048,-0.08940671892351237,0.08940671892351237,-0.007382648816396974,0.007382648816396974,-0.33016209214944,0.33016209214944,0.4003678956401067
2000,6,2020272977,1.0486063216008443,0.04860632160084433,0.002530419057683141,0.1131637804908093,0.1131637804908093,0.0013989881933764838,0.06256465400218877,0.06256465400218877,-0.018393232992168728,0.018393232992168728,-0.8225703859296227,0.8225703859296227,0.3867942447661854
