case,method,tau,n,epochs,rep,n_train,n_val,data_seed,fit_seed,data_sha256,epochs_run,optimizer_updates,projection_1_epochs_run,projection_2_epochs_run,projection_1_seed,projection_2_seed,density_zero,last_epoch_train_loss,last_epoch_validation_loss,training_loss,theta_hat_1,theta_0_1,estimated_se_1,theta_error_1,root_n_train_error_1,T_1,ci_lower_1,ci_upper_1,covered_1,theta_hat_2,theta_0_2,estimated_se_2,theta_error_2,root_n_train_error_2,T_2,ci_lower_2,ci_upper_2,covered_2,se_oracle_A_1,se_oracle_A_2,se_oracle_A_moment_1,se_oracle_A_moment_2,se_oracle_B_1,T_oracle_A_1,ci_lower_oracle_A_1,ci_upper_oracle_A_1,covered_oracle_A_1,T_oracle_B_1,ci_lower_oracle_B_1,ci_upper_oracle_B_1,covered_oracle_B_1,T_oracle_A_moment_1,ci_lower_oracle_A_moment_1,ci_upper_oracle_A_moment_1,covered_oracle_A_moment_1,Z_MC_1,se_oracle_B_2,T_oracle_A_2,ci_lower_oracle_A_2,ci_upper_oracle_A_2,covered_oracle_A_2,T_oracle_B_2,ci_lower_oracle_B_2,ci_upper_oracle_B_2,covered_oracle_B_2,T_oracle_A_moment_2,ci_lower_oracle_A_moment_2,ci_upper_oracle_A_moment_2,covered_oracle_A_moment_2,Z_MC_2
3,DPLQR,0.5,2000,1000,104,1600,400,52261008,52761008,11918dc203e7a069268465a1cb5e45b89484db2955332d0ac30d3dab63020338,1000,13000,1000,1000,53261008,53261009,0.37232154871464634,0.2913200476994881,0.67471683025360107,0.55464072879663606,1.0045105218887329,1,0.21402458613987535,0.0045105218887329102,0.18042087554931641,0.021074783837147885,0.58503004124848679,1.423991002528979,True,-0.93431293964385986,-1,0.24032513741546091,0.065687060356140137,2.6274824142456055,0.27332579963361864,-1.4053415535578027,-0.46328432572991707,True,0.079344866366933109,0.077883884740574463,0.079346809053199019,0.077898664134444101,0.081145912872520695,0.056847053820392665,0.84899458380954407,1.1600264599679218,True,0.055585324375103017,0.84546453265859234,1.1635565111188735,True,0.056845662006505857,0.84899077614446283,1.160030267633003,True,0.14027140672914293,0.078077234770394563,0.84339732892034014,-1.0869653537353858,-0.7816605255523339,True,0.84130874446705495,-1.0873443197938333,-0.78128155949388656,True,0.8432373146062152,-1.0869943213473703,-0.78163155794034944,True,0.46987074540473051
3,DPLQR,0.5,2000,1000,105,1600,400,52261009,52761009,19bd44cd5d5ae808e83fa6f016f20a64b86d8f72f767a87eb9dd95023876fdaa,1000,13000,1000,1000,53261009,53261010,0.34371730409791673,0.27377100747365218,0.74185264110565186,0.56774313076764604,0.83486193418502808,1,0.16691017085740625,-0.16513806581497192,-6.605522632598877,-0.98938288162230525,0.50772401065108497,1.1619998577189712,True,-1.2111034393310547,-1,0.2508829161058887,-0.21110343933105469,-8.4441375732421875,-0.84144206631413465,-1.7028249192349805,-0.7193819594271289,True,0.081646452927663829,0.077280576981512375,0.081662501644041319,0.077203008851412597,0.081145912872520695,-2.0225993891158875,0.674834886446807,0.99488898192324915,False,-2.0350755813715713,0.6758159449548875,0.99390792341516865,False,-2.0222018979383249,0.67480343096270712,0.99492043740734903,False,-1.2575383475363739,0.078077234770394563,-2.7316493687871457,-1.3625733702148191,-1.0596335084472903,False,-2.7037770990719205,-1.3641348194810281,-1.0580720591810813,False,-2.7343939371242794,-1.3624213366798235,-1.0597855419822859,False,-2.3175827676984166
3,DPLQR,0.5,2000,1000,106,1600,400,52261010,52761010,f314cf10a35cd0a1f8c43224431ae37ca79ab4425b2c3867201edb6266cbf3d3,1000,13000,1000,1000,53261010,53261011,0.26708199000605798,0.32692422087375933,0.78034871816635132,0.68225860519029868,1.0006452798843384,1,0.31763541432649661,0.00064527988433837891,0.025811195373535156,0.0020315111452751844,0.37809130758994713,1.6231992521787295,True,-0.99379569292068481,-1,0.36515283915772673,0.0062043070793151855,0.24817228317260742,0.016990986825205136,-1.7094821065223762,-0.27810927931899332,True,0.080497847320507757,0.077784688435275931,0.080494778375355874,0.07775626572703348,0.081145912872520695,0.0080161135461070451,0.84286949913614317,1.1584210606325336,True,0.0079520934757626831,0.84159929065419781,1.159691269114479,True,0.0080164191685747482,0.84287551426864082,1.1584150455000359,True,0.10842396815349314,0.078077234770394563,0.079762575438966296,-1.1462536822538256,-0.84133770358754401,True,0.079463714328004656,-1.1468270730706582,-0.84076431277071151,True,0.079791731525478041,-1.1461979737456705,-0.84139341209569918,True,-0.12915779704131694
3,DPLQR,0.5,2000,1000,107,1600,400,52261011,52761011,af08b872cde30632066e48fec7e834d80616c4cba8b9b1c137553c362c1725d6,1000,13000,1000,1000,53261011,53261012,0.36295792649229103,0.31142599536822391,0.86071979999542236,0.55061373049728868,1.1185759305953979,1,0.22678999641833317,0.11857593059539795,4.743037223815918,0.52284462484259975,0.6740757055614971,1.5630761556292989,True,-1.0168663263320923,-1,0.23027714968357968,-0.016866326332092285,-0.67465305328369141,-0.07324359518635716,-1.4682012461744476,-0.56553140648973699,True,0.082460448289642233,0.077621920241375389,0.082468167958782576,0.077608692205199975,0.081145912872520695,1.4379733927579452,0.95695345194769921,1.2801984092430967,True,1.4612680589554694,0.95952994136525738,1.2776219198255385,True,1.4378387871385958,0.95693832139618407,1.2802135397946117,True,1.0801067632894219,0.078077234770394563,-0.21728818714667539,-1.1690052900051882,-0.86472736265899652,True,-0.21602105122820875,-1.1698977064820657,-0.86383494618211898,True,-0.21732522289509987,-1.1689793630542842,-0.86475328960990039,True,-0.36149351024252296
3,DPLQR,0.5,2000,1000,108,1600,400,52261012,52761012,4787646bdfe106bd7805e3571ed27590d0858e325a93d0e85d8660301ca49980,1000,13000,1000,1000,53261012,53261013,0.36646452874842239,0.27399075604402101,0.80200517177581787,0.51307230034203199,0.84968185424804688,1,0.21301131045154217,-0.15031814575195312,-6.012725830078125,-0.70568152194974132,0.4321873574633438,1.2671763510327501,True,-1.007453441619873,-1,0.26805863878539982,-0.0074534416198730469,-0.29813766479492188,-0.027805265495808407,-1.5328387193840882,-0.48206816385565776,True,0.080997235289523753,0.077662293199979748,0.081017451004601837,0.077648556308335545,0.081145912872520695,-1.8558429212385152,0.69092727308058033,1.0084364354155135,True,-1.8524425991497713,0.6906358650179063,1.0087278434781874,True,-1.8553798457990855,0.69088765027902732,1.0084760582170664,True,-1.1354304708842977,0.078077234770394563,-0.095972463762826282,-1.1596715362918333,-0.85523534694791281,True,-0.095462417973583943,-1.1604848217698465,-0.85442206146989974,True,-0.095989442357126253,-1.1596446119842108,-0.85526227125553533,True,-0.26669987177168542
3,DPLQR,0.5,2000,1000,109,1600,400,52261013,52761013,f4641e99248a8efe085b3195860cc960b1c0d38ba65a4a180ba0f87f6d25823a,1000,13000,1000,1000,53261013,53261014,0.34008373251842494,0.27499658557084888,0.7363547682762146,0.57683775078189325,0.96046704053878784,1,0.24517293260097739,-0.039532959461212158,-1.5813183784484863,-0.16124520370914125,0.4799369226568061,1.4409971584207697,True,-0.85900557041168213,-1,0.22324229114589311,0.14099442958831787,5.6397771835327148,0.63157580431825666,-1.2965524208838377,-0.42145871993952666,True,0.082122919817133724,0.077182576660433141,0.082136341812207692,0.077191082519794937,0.081145912872520695,-0.48138765096567104,0.79950611769720581,1.1214279633803699,True,-0.48718361851838415,0.80142105130864727,1.1195130297689284,True,-0.48130898685016049,0.7994798105868608,1.1214542704907149,True,-0.22262231774021868,0.078077234770394563,1.8267649991607138,-1.0102834206661311,-0.70772772015723318,True,1.8058327757501518,-1.0120369505616555,-0.70597419026170882,True,1.8265637038081588,-1.0103000921504801,-0.70771104867288404,True,1.2282630716081901
3,DPLQR,0.5,2000,1000,110,1600,400,52261014,52761014,739c955bbf7be77fcbfc49e9279fdfdcea7168870d6ff092b1a2f9b376553bca,1000,13000,1000,1000,53261014,53261015,0.3464603641471139,0.31525611762817091,0.80207419395446777,0.5709257536443697,1.0363965034484863,1,0.25493662685418267,0.036396503448486328,1.4558601379394531,0.14276686679981929,0.53672989647416158,1.5360631104228111,True,-0.94169044494628906,-1,0.24947736752805316,0.058309555053710938,2.3323822021484375,0.2337268331451115,-1.4306571002591357,-0.45272378963344251,True,0.08053121800821253,0.078023236137806734,0.080534739733156474,0.078047629089822101,0.081145912872520695,0.45195520878343892,0.8785553161523898,1.1942376907445829,True,0.44853156690300372,0.87735051421834576,1.1954424926786269,True,0.45193544511452294,0.8785484135714996,1.1942445933254731,True,0.40299411283499742,0.078077234770394563,0.74733576739527996,-1.0946159877763904,-0.78876490211618788,True,0.74681890598693224,-1.0947218250962625,-0.78865906479631576,True,0.74710219559142088,-1.0946637979623404,-0.78871709193023776,True,0.39557465107911755
3,DPLQR,0.5,2000,1000,111,1600,400,52261015,52761015,5e4d3dcea171866c692d97fdee860619809f3e90f2fb5bba46533a49fe8a873f,1000,13000,1000,1000,53261015,53261016,0.2988894055986363,0.31382479805212754,0.9360276460647583,0.62329679467328281,0.99827009439468384,1,0.24233501643253699,-0.0017299056053161621,-0.069196224212646484,-0.0071384879939451343,0.52330218999398914,1.4732379987953785,True,-0.96381866931915283,-1,0.28904110887302292,0.036181330680847168,1.4472532272338867,0.12517711000320647,-1.5303288327617985,-0.39730850587650723,True,0.082617543096026327,0.079530002654795387,0.082571164421880131,0.079480604132639326,0.081145912872520695,-0.020938720040433709,0.83633970992647222,1.1602004788628955,True,-0.021318456396366186,0.83922410516454327,1.1573160836248244,True,-0.020950480926701851,0.83643061212779879,1.160109576661569,True,0.088853764295223528,0.078077234770394563,0.45493938731392153,-1.1196974745225519,-0.80793986411575391,True,0.46340435579266259,-1.1168500494691262,-0.81078728916917953,True,0.4552221397369704,-1.1196006534191258,-0.80803668521917982,True,0.17272958653903797
3,DPLQR,0.5,2000,1000,112,1600,400,52261016,52761016,8c949dbe1e58ec342a6b8960c73f2b1aba6d61bf026ca60fa68653f81873b47a,1000,13000,1000,1000,53261016,53261017,0.36105995432216775,0.28540618144548857,0.70792561769485474,0.53539009561902329,1.3714593648910522,1,0.19934069514063324,0.37145936489105225,14.85837459564209,1.8634396986977029,0.98075878176223252,1.762159948019872,True,-0.98772889375686646,-1,0.23292237222005416,0.012271106243133545,0.4908442497253418,0.052683244319443809,-1.4442483545018054,-0.53120943301192747,True,0.082012730906811646,0.078801407439092905,0.082021659643519429,0.078777542361641931,0.081145912872520695,4.5292890601720019,1.2107144123137015,1.532204317468403,False,4.5776718967301617,1.2124133756609117,1.5305053541211928,False,4.5287960095599145,1.2106969119897542,1.5322218177923503,False,3.163725235657695,0.078077234770394563,0.15572191718299086,-1.1421796523374885,-0.83327813517624438,True,0.15716625056227684,-1.1407602739068399,-0.83469751360689315,True,0.15576909199326008,-1.1421328767856846,-0.83332491072804826,True,-0.0680613336092699
3,DPLQR,0.5,2000,1000,113,1600,400,52261017,52761017,b8a68e5966e0aaa765e0d37ce35de8ac07af755d3397aa1d5d7c90398e5ef93e,1000,13000,1000,1000,53261017,53261018,0.32694468721301573,0.28599206530130827,0.7239372730255127,0.5504584387481839,0.92831969261169434,1,0.2275177104694989,-0.071680307388305664,-2.8672122955322266,-0.31505374786159845,0.48239317424646488,1.3742462109769238,True,-0.97908103466033936,-1,0.25085524977997314,0.020918965339660645,0.83675861358642578,0.083390582250157455,-1.470748289561886,-0.48741377975879269,True,0.083502328041999682,0.078993336740560693,0.083527278161580981,0.07894644351010402,0.081145912872520695,-0.85842286160275882,0.76465512964937499,1.0919842555740138,True,-0.88335080413618128,0.76927370338155376,1.0873656818418349,True,-0.85816644533349073,0.76460622741499562,1.0920331578083931,True,-0.48749853695602607,0.078077234770394563,0.26481936582024884,-1.1339079746718383,-0.82425409464884036,True,0.26792656529368697,-1.1321124148103128,-0.82604965451036605,True,0.26497666531340724,-1.1338160639401433,-0.82434600538053548,True,0.019028018253158443
3,DPLQR,0.5,2000,1000,114,1600,400,52261018,52761018,a8b833d552eac85bf965bab45a85c4a4cb17b1a996cc2a9febf24b6945dca3a6,1000,13000,1000,1000,53261018,53261019,0.38895648419235695,0.30808078096463132,0.7250218391418457,0.52030185077195956,0.94588381052017212,1,0.1806605296776416,-0.054116189479827881,-2.1646475791931152,-0.29954627929182509,0.59179567892406504,1.2999719421162792,True,-0.88735729455947876,-1,0.27072178259831942,0.11264270544052124,4.5057082176208496,0.41608290385577751,-1.4179622382826671,-0.35675235083629042,True,0.081667200466069359,0.077730796018007392,0.081677957965572395,0.077741260888524247,0.081145912872520695,-0.66264288687490613,0.78581609760667614,1.1059515234336681,True,-0.66689975581202465,0.78683782129003155,1.1049297997503127,True,-0.66255561264935248,0.78579501290765019,1.1059726081326939,True,-0.34278000042202733,0.078077234770394563,1.4491387096360886,-1.0397096547547733,-0.73500493436418424,True,1.4427086944328267,-1.0403886747094522,-0.73432591440950545,True,1.4489436388489161,-1.0397301659009863,-0.73498442321797119,True,0.94274347043828355
3,DPLQR,0.5,2000,1000,115,1600,400,52261019,52761019,480a9d0b09ff46f31f61f45fd095fd1575b0e818c3c06ceecdaaa052da060a1c,1000,13000,1000,1000,53261019,53261020,0.38185471275956184,0.29568161414219785,0.72989606857299805,0.51162944309475056,1.0572981834411621,1,0.26160239152418985,0.057298183441162109,2.2919273376464844,0.21902775088301843,0.54456691778420374,1.5700294490981204,True,-0.98952800035476685,-1,0.35631721722683496,0.010471999645233154,0.41887998580932617,0.029389541506681049,-1.6878969131908983,-0.2911590875186354,True,0.081149938117432791,0.077282217699678912,0.081166101597894363,0.077155203513248144,0.081145912872520695,0.70607796839284587,0.89824430473099381,1.2163520621513304,True,0.70611299340703582,0.89825219421102154,1.2163441726713027,True,0.70593735947826475,0.89821262430928916,1.2163837425730351,True,0.57521229967499643,0.078077234770394563,0.13550335325427212,-1.1410011470461374,-0.83805485366339616,True,0.13412359794796347,-1.1425593805047403,-0.83649662020479354,True,0.13572642114066916,-1.1407521992407332,-0.83830380146880046,True,-0.086179462708469254
3,DPLQR,0.5,2000,1000,116,1600,400,52261020,52761020,3f5965537a0a6f02629d273944988f353738edb04e1fd097e15c06670899c7f7,1000,13000,1000,1000,53261020,53261021,0.35866842033195612,0.28929786957227266,0.76845753192901611,0.55218401860657462,0.89280200004577637,1,0.20456076479136825,-0.10719799995422363,-4.2879199981689453,-0.52403988645405675,0.49187026840472542,1.2937337316868274,True,-0.99445492029190063,-1,0.25506604888921525,0.0055450797080993652,0.22180318832397461,0.021739779685487664,-1.4943751897936952,-0.49453465079010611,True,0.081833985926801328,0.078747471545647013,0.081859566745094772,0.078767868740637861,0.081145912872520695,-1.3099447465519991,0.73240738762924573,1.0531966124623069,True,-1.3210523630762583,0.7337560108156358,1.0518479892759169,True,-1.3095353935604259,0.73235724922539058,1.053246750866162,True,-0.78014451644601479,0.078077234770394563,0.070415971449763776,-1.1487999645213689,-0.84010987606243248,True,0.0710204418023518,-1.1474863004418741,-0.84142354014192733,True,0.07039773700565484,-1.1488399430235507,-0.84006989756025041,True,-0.13579662913239646
