n,rep,n_train,data_seed,fit_seed,data_sha256,seed_and_hash_match,training_xz_sha256,epochs_available,omega_A_11,omega_A_12,omega_A_22,eigenvalue_min,eigenvalue_max,condition_number,omega_moment_11,omega_moment_12,omega_moment_22,se_oracle_A_1,se_oracle_A_moment_1,phi_1_mean,phi_1_min,phi_1_max,v_1_mean,se_oracle_A_2,se_oracle_A_moment_2,phi_2_mean,phi_2_min,phi_2_max,v_2_mean
500,126,400,50761030,51261030,4db8a7abcad0ce3cda6d935b8800408acf962b8cd4ce01d8fad8fb74860ed40e,True,5d8a652dac42bc1fe5efe36944004f29e8370a726992773ff4a8dd7615d6f555,3,0.17362042890896964,0.014197819778933262,0.19632261369444581,0.16679391461150933,0.20314912799190613,1.2179648667942957,0.17346633342481727,0.014071080591830855,0.19586154610543574,0.16372239711787565,0.16378799435867319,0.49326812658068275,0.00097516382845664045,0.99575544547932704,0.016731873419317277,0.15396547402037847,0.15413990076798803,0.98976343044448867,0.064137020499525105,1.8842588499438746,-0.0054533425736846318
500,127,400,50761031,51261031,e5b660ea5ded606c8d3d02b5a15557cad7130980570208ec6e36180d9ab69625,True,81254eff4e7da589f77ac5d6dfb164f685ec99198f1570756d21aaa5a3509c19,3,0.17149777025434068,0.015134181138464835,0.16950698293703576,0.15533549665063853,0.1856692565407379,1.1952789963927068,0.17106902834081897,0.015096220745334944,0.16908942939909796,0.164895557617948,0.16510202818059236,0.49494987900548382,0.017957536977082224,0.99506496428106739,5.0120994516167364e-05,0.16586104512846589,0.1660656743423187,0.9947851098662267,0.20994101400397269,1.8769392965755216,-0.0024927734362996425
500,128,400,50761032,51261032,b1963d87ad0ba46cefc7f4a0d14b7be89b4e0c5d32540854a2bbfad1e287744d,True,38eaacf3667feff249ac4fa77df3394335d3cf66df00a2279b5e27cf207bceb4,3,0.18073634825684384,0.021580426598975109,0.20518690769031794,0.16815896125513677,0.21776429469202502,1.2949907222703712,0.1803126065458682,0.021575167633414459,0.20475831734630223,0.16100597447859216,0.16119910648705102,0.49030086404904522,0.0042195932117799371,0.99481818958845114,-0.0053008640490452485,0.15110885686879583,0.15127072904202318,0.98545571988810532,0.11546415998047974,1.8744670104607855,-0.0091856913299936498
500,129,400,50761033,51261033,64d683937565974e87bcf07664e98a6c570e7d6cbb194df3b618cf48f9ab8c34,True,c1d5ac55eb62b562da7cfea72dbfac59344cb246d20ac0e7874053e785843123,3,0.17687552343561072,0.0084748343268737248,0.18555006515755901,0.17169256660028409,0.19073302199288567,1.1108985424915305,0.17646586977233436,0.0086517911256086787,0.18629291578636079,0.16190578897042815,0.16210079747403205,0.48679604125955434,0.0080031553378688385,0.99648353987546534,0.0057039587404456409,0.15807591005577873,0.15776742666910593,0.9849081198286922,0.15000427335953356,1.8927633208956149,0.034737958945448864
500,130,400,50761034,51261034,fba517696b057392cf3e6a51c633a5554f0ca54008fce9b1cb363830680d5063,True,409f52cfd521df1da48fe8902435d399edc8ef2c94aa42cee07f9b1b0125cb1b,3,0.17494910432811842,0.021549193918448416,0.18677963170508508,0.15851804610360712,0.20321068992959637,1.2819404157730927,0.17538098526205492,0.022063963051712245,0.18668467282889203,0.16378443993358358,0.16363726909836621,0.4994831086345532,0.003963128194052758,0.99670088606594931,-0.029483108634553147,0.15851258349132724,0.15860582903067014,1.002200120547829,0.1125619043027084,1.8954962928747441,-0.019287047546726842
500,131,400,50761035,51261035,222da8dcd0de033db6c86e8bb1f5332cfce708ea85e2620a213f5fa2e6a1d36d,True,50490143b5a724922b5538d75548229688a12b9fd6fa13de13c7fd3c6d944137,3,0.19158593772127977,0.026447661257233687,0.18536073479653681,0.16184314523742035,0.21510352728039622,1.3290864247901513,0.19113009628696973,0.026514334609902247,0.18565993024104613,0.15694896760880447,0.15714520738760768,0.49230868069152733,0.0043952522409190743,0.9953472639745673,-0.0048086806915272513,0.15956271106049558,0.15944341523918135,0.9882762745645739,0.11739385729232547,1.8798559756015827,-0.027615163977435356
500,132,400,50761036,51261036,b1bc6f5ff9169991988a1b58670af8b5cba9779445f3e24c166ed5afdf682a53,True,be9b199aba834bb6a3a4c925fc20f41f88e874f0a2b8f24a4fafcc0f34a682b9,3,0.17764164475117072,0.030074103832620085,0.1826109270519006,0.1499497194470614,0.21030285235600993,1.4024891352347992,0.17721807553380789,0.029914124106252108,0.18250454039812086,0.16367731168378041,0.16385478096339334,0.49953154438520331,0.0027034453365019952,0.99448337374491858,-0.0045315443852033252,0.16143492472357462,0.16146421634661032,1.0009807395371808,0.09643148263544192,1.8712180556155895,0.01871204595574822
500,133,400,50761037,51261037,99e5e4d09fc1f8cf63afc944ec5dfdfc79a8095d5ad3e5f1d742af0fcc3ca081,True,7fd4cdc27d21e51588f6df0587c944d29b7635bc3041f4c97fc671f5d8edd08a,3,0.17702347892154832,0.0063040404285343897,0.20163154815744644,0.17550252914152117,0.20315249793747359,1.1575474093234071,0.17666272682729992,0.0061727042692853373,0.20129075470320484,0.16175100299754211,0.16191267238746937,0.51095529972550247,0.0095778449720911665,0.99713411750674952,0.0090447002744975559,0.15155950413193642,0.15168456541690553,1.0157870124847188,0.16154210642694555,1.9012727600678829,-0.012778318205147819
500,134,400,50761038,51261038,ce4737e10a582023381193e610ec0f5e85175f971327c301e2a3270336b036bb,True,955603d95f4b2e41fcd569b8dd6185e92e1248d07f2eca064a8efbeb285e02fc,3,0.17963613872974316,0.020492805195381211,0.17018636638983098,0.15388080762643186,0.19594169749314228,1.2733342157185665,0.17963399070461361,0.021132090660953399,0.1708277369873234,0.16159474531860776,0.16166258205401016,0.48364101042274998,0.00068973245487700995,0.99347965754896939,-0.021141010422749892,0.16602049606120572,0.16577711457080038,0.97655683070851884,0.055912561336385537,1.8621037527166677,-0.032662463371077963
500,135,400,50761039,51261039,41aaf093a49c9e9de7ee9570125e055f43db98bac826a520d9a3dbae64adab2a,True,757de3a3744f668bf4b408bec9a780141b083bcd2887234c14ea5585a507518d,3,0.17591048964384715,0.01711715459809721,0.1940619869709255,0.16561186876051093,0.20436060785426172,1.233973201218959,0.17548536862871081,0.017044536891384063,0.19363752850415178,0.16287199954787321,0.16306641959215068,0.50617178775753624,0.0088083949298080246,0.99391204101612973,0.0038282122424636821,0.15506795516603361,0.15523520743435401,1.0045725164286063,0.15604988996952801,1.8659243456039436,-0.0077907958934660647
