n,n_train,epochs,component,Q_available,Q_requested,true_theta,mean_theta_hat,bias,sqrt_n_train_scaled_bias,MC_SD_theta_hat,current_mean_SE,current_mean_T,current_SD_T,current_coverage,current_skewness,current_excess_kurtosis,current_SE_over_MC_SD,current_coverage_MCSE,oracle_A_mean_SE,oracle_A_mean_T,oracle_A_SD_T,oracle_A_coverage,oracle_A_skewness,oracle_A_excess_kurtosis,oracle_A_SE_over_MC_SD,oracle_A_coverage_MCSE,oracle_B_mean_SE,oracle_B_mean_T,oracle_B_SD_T,oracle_B_coverage,oracle_B_skewness,oracle_B_excess_kurtosis,oracle_B_SE_over_MC_SD,oracle_B_coverage_MCSE,oracle_B_SE,Z_MC_mean,Z_MC_sd,Z_MC_skewness,Z_MC_excess_kurtosis,Q_Z_MC_available,oracle_A_moment_mean_SE,oracle_A_moment_coverage,oracle_A_moment_max_abs_relative_SE_change,true_f0,mean_current_fhat0,mean_current_fhat0_over_true_f0
1000,800,1000,theta_1,200,200,1,0.95072650671005254,-0.049273493289947456,-1.3936648495228678,0.17281115882987838,0.32191656073964081,-0.16747254928516894,0.62058167502248651,0.98499999999999999,-0.39446558250735014,1.6231008917595506,1.8628227651464755,0.0085950567188355451,0.11477385139413805,-0.42573793901194579,1.5090725508076486,0.79000000000000004,-0.14011761400027023,-0.0581713060486444,0.66415763988438747,0.028801041647829335,0.11475765051546433,-0.42937000773911466,1.5058791989348983,0.79500000000000004,-0.149656575583097,-0.056078709221071055,0.66406389085346018,0.028546015483776364,0.11475765051546429,-3.1530333899354444e-16,1,-0.14965657558309731,-0.056078709221070611,200,0.11478372580330456,0.79000000000000004,0.0042204346513657898,0.36755259694786135,0.40620203231711038,1.1051534819511331
1000,800,1000,theta_2,200,200,-1,-0.91599826455116273,0.084001735448837267,2.3759278706924492,0.15792894481317407,0.62165488443093853,0.1413455352774243,0.2688769059777501,1,0.14742089388775989,0.29774469895539957,3.9362948012243129,0,0.11077326527765806,0.75518678827308494,1.4259803592426725,0.77000000000000002,-0.18997734943162442,0.70253754784268496,0.70141205216497848,0.029757352032733018,0.11041788432488019,0.76076204468544939,1.4302841045976133,0.78000000000000003,-0.17230857659040114,0.62275470041964542,0.69916179365031372,0.029291637031753616,0.11041788432488017,7.9936057773011268e-17,1,-0.17230857659040105,0.62275470041964676,200,0.11077891508837316,0.77000000000000002,0.0036659621215111571,0.36755259694786135,0.40620203231711038,1.1051534819511331
2000,1600,200,theta_1,200,200,1,0.98358506053686146,-0.016414939463138545,-0.65659757852554179,0.10203313714994616,0.12017687529253097,-0.14443972152425646,0.8677188926493653,0.96999999999999997,0.25649666124253828,0.29386830525962049,1.1778220159586104,0.012062338081814825,0.081171458339508534,-0.20381232066423652,1.2577007912164915,0.85999999999999999,0.41876746589215691,0.39376587397449603,0.79554016084225987,0.024535688292770596,0.081145912872520695,-0.20228917122327852,1.2574032817923813,0.86499999999999999,0.42490261996753653,0.41377107763438037,0.79528979642437181,0.024163505540380516,0.081145912872520695,-3.4861002973229917e-16,1,0.4249026199675367,0.41377107763438037,200,0.081175584185520788,0.85999999999999999,0.0024622826445329649,0.36755259694786135,0.55724646109362286,1.5160999152800714
2000,1600,200,theta_2,200,200,-1,-0.95027523219585419,0.049724767804145809,1.9889907121658323,0.084870684680474623,0.09912742181706953,0.51494186245079066,0.88320145538860739,0.95499999999999996,0.15278464485005797,0.20298815837875761,1.1679818796121344,0.014658615214269054,0.07795036177369484,0.63760809745056368,1.0870248199266017,0.89500000000000002,0.026712575675622775,-0.1449105075465873,0.9184603855520459,0.021676600286945368,0.078077234770394549,0.63686640478974188,1.0870093559288809,0.89000000000000001,0.03046467928347316,-0.13892231575853708,0.91995528331535925,0.022124646889837583,0.078077234770394563,5.3290705182007512e-17,1,0.030464679283473326,-0.13892231575853886,200,0.077947482984501312,0.89500000000000002,0.0021431898199762989,0.36755259694786135,0.55724646109362286,1.5160999152800714
2000,1600,500,theta_1,200,200,1,0.98720824718475342,-0.012791752815246582,-0.51167011260986328,0.11267780151418649,0.17989483307379864,-0.071561373604336592,0.64101067331831751,0.995,0.29638676869213915,0.56440395942965704,1.5965419155888421,0.0049874843358150029,0.081171458339508534,-0.15930969375136653,1.3884634442577415,0.83499999999999996,0.35556801829286944,0.53425559531821598,0.72038553511614967,0.02624642832844119,0.081145912872520695,-0.15763890456617671,1.3885825856836689,0.83499999999999996,0.35895641980486287,0.54480760540962869,0.7201588226080553,0.02624642832844119,0.081145912872520695,-8.8817841970012525e-18,1,0.3589564198048627,0.5448076054096278,200,0.081175584185520788,0.83499999999999996,0.0024622826445329649,0.36755259694786135,0.42098532009721068,1.1453743589163892
2000,1600,500,theta_2,200,200,-1,-0.9679297670722008,0.032070232927799203,1.2828093171119681,0.091900021088129724,0.17826256748945291,0.18226648251693145,0.53576919355325203,1,-0.14193040442520016,0.15582433783550709,1.9397445765382768,0,0.07795036177369484,0.4118804158825472,1.1773132786346869,0.89500000000000002,-0.19917149794441183,0.010663002947451261,0.84820831214981418,0.021676600286945368,0.078077234770394549,0.41075011201548933,1.1770399061696344,0.88500000000000001,-0.20381229551281274,0.026328820800400887,0.84958886674814271,0.022558257911461158,0.078077234770394563,2.3980817331903383e-16,1,-0.20381229551281288,0.026328820800400887,200,0.077947482984501312,0.89500000000000002,0.0021431898199762989,0.36755259694786135,0.42098532009721068,1.1453743589163892
2000,1600,1000,theta_1,200,200,1,0.98748614072799679,-0.012513859272003214,-0.50055437088012855,0.12136743729682097,0.2373803672047223,-0.052873735446699592,0.51969339763734224,1,0.44669915060685639,0.54006923958027642,1.955881845178749,0,0.081171458339508534,-0.15543420227027319,1.4956793552750327,0.81499999999999995,0.46804324933594238,0.58317978941361037,0.66880754959827016,0.027456784225396828,0.081145912872520695,-0.15421428916157867,1.4956691347780857,0.80500000000000005,0.4672804407098583,0.56123135764160903,0.66859706919630402,0.028015620642777128,0.081145912872520695,3.0642155479654318e-16,0.99999999999999989,0.46728044070985814,0.5612313576416077,200,0.081175584185520788,0.81499999999999995,0.0024622826445329649,0.36755259694786135,0.33662913822014018,0.91586657532960436
2000,1600,1000,theta_2,200,200,-1,-0.9809704920649529,0.019029507935047096,0.76118031740188385,0.099298696242311982,0.28371738101130345,0.070254376168891811,0.37375875353158605,1,-0.057758074914117927,0.07423587119077002,2.8572115420223327,0,0.07795036177369484,0.2436033887362023,1.2741997364176394,0.88500000000000001,-0.12363956181411631,0.091911487384709112,0.78500891475430623,0.022558257911461158,0.078077234770394549,0.24372671484854869,1.2718008845257438,0.88500000000000001,-0.12574456527054748,0.077570146206715318,0.78628660521249827,0.022558257911461158,0.078077234770394563,5.3290705182007512e-16,1,-0.1257445652705472,0.077570146206713098,200,0.077947482984501312,0.88500000000000001,0.0021431898199762989,0.36755259694786135,0.33662913822014018,0.91586657532960436
4000,3200,200,theta_1,200,200,1,0.98719551771879199,-0.012804482281208007,-0.72433090005001399,0.064161232905185078,0.083420238886262765,-0.15545063118990324,0.77937925629998694,0.98499999999999999,0.12994413321309212,0.23212280771802618,1.3001657715888639,0.0085950567188355451,0.057343175593932455,-0.22285252532694558,1.1193266163328275,0.92000000000000004,0.14343405972169881,0.23395695052339427,0.8937355626983029,0.019183326093250873,0.057378825257732163,-0.22315692633464215,1.1182040171960295,0.92000000000000004,0.14069266263928321,0.22317943378036365,0.89429118892594084,0.019183326093250873,0.057378825257732143,-4.8405723873656829e-16,0.99999999999999989,0.14069266263928312,0.22317943378036365,200,0.05734206510469015,0.92000000000000004,0.001689034552684876,0.36755259694786135,0.46942605198964032,1.2771670119806828
4000,3200,200,theta_2,200,200,-1,-0.98738824605941777,0.012611753940582227,0.71342853872334844,0.056913785223282755,0.064330780766905113,0.19477332268094988,0.87851683004941727,0.97999999999999998,0.14208101500456519,-0.2396846619236408,1.1303198428030079,0.0098994949366116684,0.055198712207418454,0.22835578961627617,1.0291306571228598,0.95499999999999996,0.23730337110320393,0.030516077318256229,0.96986541996572939,0.014658615214269054,0.055208942162440093,0.22843679749332962,1.0308798356582625,0.95499999999999996,0.24269759157423154,0.069895871498284023,0.97004516473198432,0.014658615214269054,0.055208942162440086,8.6153306710912145e-16,0.99999999999999989,0.24269759157423137,0.069895871498282691,200,0.055199079242120648,0.95499999999999996,0.0011555102291003205,0.36755259694786135,0.46942605198964032,1.2771670119806828
4000,3200,500,theta_1,200,200,1,0.9854561102390289,-0.014543889760971096,-0.82272664598498069,0.068961468347202348,0.12205823815743916,-0.11537927624738663,0.5766010707970286,1,0.023242723857645042,-0.063141149333025393,1.7699483651204893,0,0.057343175593932455,-0.25321338348237704,1.2036675598983073,0.89500000000000002,0.0034454496907451232,-0.22262492136711609,0.83152486407663295,0.021676600286945368,0.057378825257732163,-0.25347137547071324,1.2018626738599774,0.89500000000000002,0.0053118948916978,-0.22968973269032666,0.83204181455135628,0.021676600286945368,0.057378825257732143,3.7303493627405258e-16,1,0.0053118948916975692,-0.22968973269032666,200,0.05734206510469015,0.89500000000000002,0.001689034552684876,0.36755259694786135,0.37358055780250948,1.0164002673486843
4000,3200,500,theta_2,200,200,-1,-0.99918610572814937,0.00081389427185063479,0.046040812703557699,0.060155717921095191,0.095981269931434368,0.012399756488977811,0.63226740103792123,0.995,-0.090620899775519931,0.16609595112393905,1.5955469113897152,0.0049874843358150029,0.055198712207418454,0.014546969588924288,1.0885494591468103,0.93999999999999995,-0.090101192469012589,0.069019520365426246,0.91759709824793845,0.016792855623746671,0.055208942162440093,0.014742073294139226,1.0896009878997557,0.93500000000000005,-0.088809515312280318,0.091303080108264822,0.91776715614725657,0.01743201078476031,0.055208942162440086,-7.9936057773011273e-16,1,-0.088809515312279999,0.091303080108264378,200,0.055199079242120648,0.93999999999999995,0.0011555102291003205,0.36755259694786135,0.37358055780250948,1.0164002673486843
4000,3200,1000,theta_1,200,200,1,0.98481443613767627,-0.015185563862323725,-0.85902521465523896,0.072675917403606807,0.16886495021573289,-0.084510850647931013,0.44571845459007586,1,-0.0053493741181827401,-0.060660622745905446,2.3235337956305226,0,0.057343175593932455,-0.26457032324636193,1.2677248679744473,0.85499999999999998,-0.036011936375692576,-0.22122552262213491,0.78902582371924201,0.024897289009046749,0.057378825257732163,-0.26465449221230641,1.2665982107016609,0.85999999999999999,-0.039512034417505157,-0.2125634159216192,0.78951635297670875,0.024535688292770596,0.057378825257732143,-4.8405723873656829e-16,1,-0.039512034417505247,-0.21256341592161965,200,0.05734206510469015,0.85499999999999998,0.001689034552684876,0.36755259694786135,0.28219078984740742,0.76775621282696904
4000,3200,1000,theta_2,200,200,-1,-1.0042534041404725,-0.0042534041404724832,-0.24060887286840252,0.064119061694538543,0.14231812461713114,-0.028981634732548223,0.45656232708865346,1,-0.010074626199778818,0.3057377981859779,2.2195915045533696,0,0.055198712207418454,-0.077317814155957829,1.1610531153809445,0.92000000000000004,-0.061022693881026491,0.18522989709411819,0.86087835268681268,0.019183326093250873,0.055208942162440093,-0.077041942371540328,1.1613890645809224,0.92000000000000004,-0.061678218238338849,0.20437133553769415,0.86103789892394222,0.019183326093250873,0.055208942162440086,1.1102230246251565e-15,1,-0.061678218238338606,0.20437133553769327,200,0.055199079242120648,0.92000000000000004,0.0011555102291003205,0.36755259694786135,0.28219078984740742,0.76775621282696904
