omega_11,omega_12,omega_22,batch
0.17631679856020344,0.012590716004987021,0.19105302323080917,39
0.176150159113595,0.012743654402411337,0.19028499965246487,40
0.1771245059325198,0.013442839421600008,0.19225124032063998,41
0.17689846677406848,0.013578266224806958,0.19013053137082131,42
0.17717255314959501,0.012984729423668519,0.18979909818997234,43
0.17535636744882332,0.013139115899366945,0.1906293722172594,44
0.17681104988499083,0.01273495715500053,0.19077619374346555,45
0.17570121348122783,0.01232835860115687,0.19092004268795487,46
0.17590045438684909,0.012231451572017519,0.19027672083991937,47
0.17683659724366094,0.01354313019533635,0.1913698121302066,48
0.17611919112883828,0.015238013736661641,0.19073011339763751,49
0.17670948630204858,0.014710588420417642,0.19084918335779483,50
0.17739410977563366,0.013034942212579802,0.19026658228166582,51
0.17705348664827469,0.012944962604875172,0.19110136316277443,52
0.17630646455691515,0.013667139867341062,0.19063732603169764,53
0.17589622509261524,0.013301809764891192,0.19037724553253854,54
0.17761029133400438,0.01203666637742346,0.19033515945010901,55
0.17665522289916702,0.01313063414698528,0.18981075247020338,56
0.17576193911608193,0.013064822894799884,0.19091118229038609,57
0.17686521295009239,0.013216065691074946,0.19099260789943784,58
0.17669020365964119,0.014245098735341398,0.19016444877941882,59
0.17697826719368026,0.013677791235885434,0.19041084007072895,60
0.17616811683348602,0.01276805160798619,0.19109374362494713,61
0.17747727619125725,0.013127928510075619,0.19042391464554467,62
0.17591975856202374,0.013406816935169779,0.18998206726313493,63
0.17656716010049914,0.013343289652818047,0.18980555246578223,64
0.17611442826900184,0.013442740928859326,0.19095493782664194,65
0.17727779351822759,0.013080654798085539,0.19105853278755741,66
0.17591778773779307,0.013971242124494567,0.1906298542925349,67
0.17629584114382019,0.012839984150741102,0.19068712345547498,68
0.17676581581008249,0.012601805249212037,0.19103228441831244,69
0.17603790354811075,0.013090247958836917,0.1918231585100981,70
0.17670996787656867,0.014939029858801738,0.19183341932659503,71
0.17654624565685867,0.014134697840269359,0.19201701271867461,72
0.17573198923586614,0.012812113783895305,0.18951790735243954,73
0.17692326312600259,0.012063137796441678,0.19022922488736244,74
0.17770853397832118,0.014105501702157689,0.19077382187511427,75
0.17619316140299837,0.014406943312545804,0.18929569217716027,76
0.17612271959416939,0.012641742033754517,0.19050024179352368,77
0.17619874637254943,0.01189236536576678,0.19021426512448164,78
0.17588550979270945,0.013378522225684569,0.19036343155953392,79
0.17668477453780834,0.01464215694843567,0.19332784374027437,80
0.17670975134649453,0.013321107020650232,0.19179090823516007,81
0.17587955312234363,0.012017599387907411,0.19105239971265611,82
0.17737513861168222,0.0132385348540024,0.19058529910773042,83
0.17686631981985917,0.014086605691278051,0.1909983512318888,84
0.17693105007730642,0.013031219656078884,0.19142909125631422,85
0.1754504780928314,0.012783503770237419,0.19048887345857268,86
0.17613998390090321,0.013199066605086171,0.19084441117886203,87
0.17654020733862519,0.013387297771593126,0.19084554379736884,88
0.17670901434804812,0.012739721689355601,0.19057625911870121,89
0.17668649939399114,0.01317468079267072,0.19017115306470259,90
0.17749512895596864,0.013487290432183269,0.19005882829868925,91
0.17589406492561405,0.012729529865569638,0.18992085049775798,92
0.17700354402853397,0.012537459345950217,0.19104098455431592,93
0.17632102620172663,0.012622877648417239,0.19033958341686313,94
0.17693498953123099,0.014196550142875982,0.19071366706591386,95
0.17656308315893696,0.013739234185680136,0.1922987174061038,96
0.17740685767215084,0.014177698013075906,0.1903224464157629,97
0.17655157145551095,0.012179979798724951,0.19044476395090421,98
0.1765979016413658,0.01278901666143646,0.19079034338632606,99
0.17659002404683546,0.012906518486077571,0.19080166983656632,100
